representative,band_name,cluster_id,size,source,family
0,band_0,39,6,central,band
8,band_8,1,6,central,band
9,band_9,30,6,central,band
12,band_12,31,6,central,band
14,band_14,2,6,central,band
22,band_22,3,6,central,band
23,band_23,33,6,central,band
28,band_28,22,6,central,band
38,band_38,26,6,central,band
39,band_39,27,6,central,band
41,band_41,28,6,central,band
43,band_43,0,6,central,band
46,band_46,13,6,central,band
47,band_47,14,6,central,band
65,band_65,34,6,central,band
80,band_80,29,6,central,band
89,band_89,38,6,central,band
90,band_90,12,6,central,band
91,band_91,23,6,central,band
92,band_92,25,6,central,band
93,band_93,24,6,central,band
96,band_96,20,6,central,band
98,band_98,8,6,central,band
99,band_99,10,6,central,band
100,band_100,9,6,central,band
102,band_102,11,6,central,band
103,band_103,21,6,central,band
119,band_119,37,6,central,band
120,band_120,35,6,central,band
122,band_122,36,6,central,band
123,band_123,19,6,central,band
124,band_124,18,6,central,band
131,band_131,7,6,central,band
132,band_132,6,6,central,band
154,band_154,4,6,central,band
162,band_162,16,6,central,band
166,band_166,15,6,central,band
167,band_167,5,6,central,band
168,band_168,32,6,central,band
170,band_170,17,6,central,band
