cluster_id,size,representative,mean_abs_r_to_others,band_name,members
16,86,58,0.995551189955543,band_58,15 16 17 18 19 20 21 29 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 168 175 176 177 178 179 180 181 182 183
28,18,79,0.9461791655596565,band_79,1 3 6 7 44 46 49 50 78 79 105 107 110 111 126 128 131 132
12,13,134,0.9336820741494497,band_134,23 24 25 26 27 92 93 94 133 134 135 136 137
15,10,48,0.9422183036804199,band_48,4 5 47 48 129 130 163 165 170 172
14,4,169,0.9359519282976786,band_169,162 167 169 174
18,4,171,0.93637086947759,band_171,164 166 171 173
29,4,9,0.9031402071317037,band_9,9 11 22 121
0,3,42,0.9949324727058411,band_42,37 42 43
19,3,108,0.8792158663272858,band_108,106 108 109
32,3,45,0.9915603995323181,band_45,2 45 127
1,2,97,0.8869175314903259,band_97,97 104
5,2,124,0.8678486347198486,band_124,124 125
10,2,28,0.9925311207771301,band_28,28 138
11,2,80,0.9448750615119934,band_80,80 81
24,2,38,0.8904072642326355,band_38,38 39
26,2,8,0.9681563377380371,band_8,8 13
27,2,71,0.9521936774253845,band_71,71 72
30,2,99,0.9005610346794128,band_99,99 101
2,1,96,1.0,band_96,96
3,1,98,1.0,band_98,98
4,1,103,1.0,band_103,103
6,1,119,1.0,band_119,119
7,1,154,1.0,band_154,154
8,1,122,1.0,band_122,122
9,1,123,1.0,band_123,123
13,1,91,1.0,band_91,91
17,1,120,1.0,band_120,120
20,1,89,1.0,band_89,89
21,1,12,1.0,band_12,12
22,1,41,1.0,band_41,41
23,1,95,1.0,band_95,95
25,1,40,1.0,band_40,40
31,1,100,1.0,band_100,100
33,1,90,1.0,band_90,90
34,1,102,1.0,band_102,102
35,1,10,1.0,band_10,10
36,1,0,1.0,band_0,0
37,1,14,1.0,band_14,14
