representative,band_name,cluster_id,size,source,family
0,band_0,36,6,central,band
8,band_8,26,6,central,band
9,band_9,29,6,central,band
10,band_10,35,6,central,band
12,band_12,21,6,central,band
14,band_14,37,6,central,band
28,band_28,10,6,central,band
38,band_38,24,6,central,band
40,band_40,25,6,central,band
41,band_41,22,6,central,band
42,band_42,0,6,central,band
45,band_45,32,6,central,band
48,band_48,15,6,central,band
58,band_58,16,6,central,band
71,band_71,27,6,central,band
79,band_79,28,6,central,band
80,band_80,11,6,central,band
89,band_89,20,6,central,band
90,band_90,33,6,central,band
91,band_91,13,6,central,band
95,band_95,23,6,central,band
96,band_96,2,6,central,band
97,band_97,1,6,central,band
98,band_98,3,6,central,band
99,band_99,30,6,central,band
100,band_100,31,6,central,band
102,band_102,34,6,central,band
103,band_103,4,6,central,band
108,band_108,19,6,central,band
119,band_119,6,6,central,band
120,band_120,17,6,central,band
122,band_122,8,6,central,band
123,band_123,9,6,central,band
124,band_124,5,6,central,band
134,band_134,12,6,central,band
154,band_154,7,6,central,band
169,band_169,14,6,central,band
171,band_171,18,6,central,band
