tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SL-18-Y-D,2015,15,778618,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Y-D-2015-L8-3-184F-HARM_masked.tif,-76.50142791090256,-48.00587895181881,-74.9984566090422,-46.99904718137765
CHILE-SL-18-Z-A,2015,15,1803586,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-A-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-47.00605404059378,-73.49844974761942,-45.99895277556739
CHILE-SL-18-Z-B,2015,15,9420217,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-B-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-47.00605404059378,-71.99844288619664,-45.99895277556739
CHILE-SL-18-Z-C,2015,15,11690117,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-C-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-48.00587895181881,-73.49844974761942,-46.99904718137765
CHILE-SL-18-Z-D,2015,15,14941519,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-48.00587895181881,-71.99844288619664,-46.99904718137765
CHILE-SL-19-Y-A,2015,15,499245,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.00140732663424,-47.00605404059378,-70.49843602477387,-45.99895277556739
CHILE-SL-19-Y-C,2015,15,257987,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.00140732663424,-48.00587895181881,-70.49843602477387,-46.99904718137765
CHILE-SM-18-V-B,2015,15,5953516,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-V-B-2015-L8-3-184F-HARM_masked.tif,-76.50142791090256,-49.005973357629074,-74.9984566090422,-47.99887209260268
CHILE-SM-18-V-D,2015,15,5161178,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-V-D-2015-L8-3-184F-HARM_masked.tif,-76.50142791090256,-50.0057982688541,-74.9984566090422,-48.99896649841294
CHILE-SM-18-X-A,2015,15,16989736,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-A-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-49.005973357629074,-73.49844974761942,-47.99887209260268
CHILE-SM-18-X-B,2015,15,13860249,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-B-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-49.005973357629074,-71.99844288619664,-47.99887209260268
CHILE-SM-18-X-C,2015,15,16694834,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-C-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-50.0057982688541,-73.49844974761942,-48.99896649841294
CHILE-SM-18-X-D,2015,15,1074837,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-D-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-50.0057982688541,-71.99844288619664,-48.99896649841294
CHILE-SM-18-Y-B,2015,15,3205526,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Y-B-2015-L8-3-184F-HARM_masked.tif,-76.5016974054878,-51.005892674664366,-74.9984566090422,-49.99906090422321
CHILE-SM-18-Y-D,2015,15,1020257,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Y-D-2015-L8-3-184F-HARM_masked.tif,-76.5016974054878,-52.00571758588939,-74.9984566090422,-50.99888581544823
CHILE-SM-18-Z-A,2015,15,14894770,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-A-2015-L8-3-184F-HARM_masked.tif,-75.00169054406501,-51.005892674664366,-73.4984497476194,-49.99906090422321
CHILE-SM-18-Z-B,2015,15,5748515,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-B-2015-L8-3-184F-HARM_masked.tif,-73.50168368264224,-51.005892674664366,-71.99844288619663,-49.99906090422321
CHILE-SM-18-Z-C,2015,15,11845826,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-C-2015-L8-3-184F-HARM_masked.tif,-75.00169054406501,-52.00571758588939,-73.4984497476194,-50.99888581544823
CHILE-SM-18-Z-D,2015,15,14928463,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50168368264224,-52.00571758588939,-71.99844288619663,-50.99888581544823
CHILE-SM-19-Y-C,2015,15,110227,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.00167682121946,-52.00571758588939,-70.49843602477385,-50.99888581544823
CHILE-SN-18-V-B,2015,15,52401,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-V-B-2015-L8-3-184F-HARM_masked.tif,-76.5016974054878,-53.00581199169966,-74.9984566090422,-51.9989802212585
CHILE-SN-18-X-A,2015,15,7510822,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-A-2015-L8-3-184F-HARM_masked.tif,-75.00169054406501,-53.00581199169966,-73.4984497476194,-51.9989802212585
CHILE-SN-18-X-B,2015,15,15319615,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-B-2015-L8-3-184F-HARM_masked.tif,-73.50168368264224,-53.00581199169966,-71.99844288619663,-51.9989802212585
CHILE-SN-18-X-C,2015,15,2654179,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-C-2015-L8-3-184F-HARM_masked.tif,-75.00169054406501,-54.005636902924685,-73.4984497476194,-52.999074627068765
CHILE-SN-18-X-D,2015,15,13654933,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-D-2015-L8-3-184F-HARM_masked.tif,-73.50168368264224,-54.005636902924685,-71.99844288619663,-52.999074627068765
CHILE-SN-18-Z-B,2015,15,2946053,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-Z-B-2015-L8-3-184F-HARM_masked.tif,-73.50168368264224,-55.005731308734944,-71.99817339161139,-53.998899538293784
CHILE-SN-19-V-A,2015,15,11189715,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-A-2015-L8-3-184F-HARM_masked.tif,-72.00167682121946,-53.00581199169966,-70.49843602477385,-51.9989802212585
CHILE-SN-19-V-B,2015,15,104070,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50166995979669,-53.00581199169966,-68.99842916335108,-51.9989802212585
CHILE-SN-19-V-C,2015,15,11928693,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-C-2015-L8-3-184F-HARM_masked.tif,-72.00167682121946,-54.005636902924685,-70.49843602477385,-52.999074627068765
CHILE-SN-19-V-D,2015,15,8341158,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50166995979669,-54.005636902924685,-68.99842916335108,-52.999074627068765
CHILE-SN-19-X-A,2015,15,35431,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-X-A-2015-L8-3-184F-HARM_masked.tif,-69.00166309837391,-53.00581199169966,-67.4984223019283,-51.9989802212585
CHILE-SN-19-X-C,2015,15,448977,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-X-C-2015-L8-3-184F-HARM_masked.tif,-69.00166309837391,-54.005636902924685,-67.4984223019283,-52.999074627068765
CHILE-SN-19-Y-A,2015,15,11633667,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.00167682121946,-55.005731308734944,-70.49816653018861,-53.998899538293784
CHILE-SN-19-Y-B,2015,15,15729765,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50166995979669,-55.005731308734944,-68.99842916335108,-53.998899538293784
CHILE-SN-19-Y-D,2015,15,5466605,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50166995979669,-56.00555621995997,-68.99815966876584,-54.99899394410404
CHILE-SN-19-Z-A,2015,15,6493967,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Z-A-2015-L8-3-184F-HARM_masked.tif,-69.00166309837391,-55.005731308734944,-67.4984223019283,-53.998899538293784
CHILE-SN-19-Z-B,2015,15,339657,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Z-B-2015-L8-3-184F-HARM_masked.tif,-67.50165623695113,-55.005731308734944,-65.99841544050552,-53.998899538293784
CHILE-SN-19-Z-C,2015,15,7440650,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Z-C-2015-L8-3-184F-HARM_masked.tif,-69.00166309837391,-56.00555621995997,-67.49815280734306,-54.99899394410404
CHILE-SN-19-Z-D,2015,15,3025879,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-Z-D-2015-L8-3-184F-HARM_masked.tif,-67.50165623695113,-56.00555621995997,-65.99814594592029,-54.99899394410404
