tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SG-19-Y-B,2015,4,234173,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-27.00497440814423,-68.99896815252156,-25.998951121458777
CHILE-SG-19-Y-D,2015,4,7410217,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-28.00506881395449,-68.99896815252156,-26.99904552726904
CHILE-SG-19-Z-A,2015,4,1016826,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Z-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-27.00497440814423,-67.49896129109878,-25.998951121458777
CHILE-SG-19-Z-C,2015,4,1707075,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Z-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-28.00506881395449,-67.49896129109878,-26.99904552726904
CHILE-SH-19-V-B,2015,4,5604615,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-29.005163219764754,-68.99896815252156,-27.998870438494066
CHILE-SH-19-V-C,2015,4,24738,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-30.005257625575016,-70.49870551935909,-28.999234338889565
CHILE-SH-19-V-D,2015,4,6123989,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-30.005257625575016,-68.99869865793632,-28.999234338889565
CHILE-SH-19-Y-A,2015,4,340408,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-31.005352031385282,-70.49870551935909,-29.999059250114595
CHILE-SH-19-Y-B,2015,4,3783647,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-31.005352031385282,-68.99869865793632,-29.999059250114595
CHILE-SH-19-Y-C,2015,4,1305416,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-32.005446437195545,-70.49870551935909,-30.99888416133962
CHILE-SH-19-Y-D,2015,4,773310,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-32.005446437195545,-68.99869865793632,-30.99888416133962
CHILE-SI-19-V-A,2015,4,298094,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-33.005540843005804,-70.49870551935909,-31.99897856714988
CHILE-SI-19-V-B,2015,4,3161119,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-33.005540843005804,-68.99869865793632,-31.99897856714988
CHILE-SI-19-V-D,2015,4,3691330,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-34.00563524881607,-68.99869865793632,-32.99907297296015
CHILE-SI-19-Y-A,2015,4,110581,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-35.005729654626336,-70.49870551935909,-33.998897884185176
CHILE-SI-19-Y-B,2015,4,3231570,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-35.005729654626336,-68.99869865793632,-33.998897884185176
CHILE-SI-19-Y-D,2015,4,270,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-36.005824060436595,-68.99869865793632,-34.998992289995435
