tile,n_eco,pct_eco,quota,n_finite,mosaic_path,n_requested,n_drawn
CHILE-SL-18-Y-D,778618,3.7369469052882,2565,2565,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Y-D-2015-L8-3-184F-HARM_masked.tif,2565,2565
CHILE-SL-18-Z-A,1803586,8.653924723993269,2565,2565,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-A-2015-L8-3-184F-HARM_masked.tif,2565,2565
CHILE-SL-18-Z-B,9420217,45.199867819822124,2565,2560,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-B-2015-L8-3-184F-HARM_masked.tif,2565,2565
CHILE-SL-18-Z-C,11690117,56.106263335303034,2565,2552,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-C-2015-L8-3-184F-HARM_masked.tif,2565,2565
CHILE-SL-18-Z-D,14941519,71.71124118290977,2564,2511,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SL-19-Y-A,499245,2.395465837963934,2564,2562,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-Y-A-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SL-19-Y-C,257987,1.238198604777422,2564,2560,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-Y-C-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-V-B,5953516,28.5660230823978,2564,2545,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-V-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-V-D,5161178,24.7708737207996,2564,2505,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-V-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-X-A,16989736,81.51975920445075,2564,2560,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-A-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-X-B,13860249,66.5039268999665,2564,2440,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-X-C,16694834,80.12620855233276,2564,2503,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-C-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-X-D,1074837,5.1586385118752105,2564,2538,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-X-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-Y-B,3205526,15.382039643352632,2564,2255,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Y-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-Y-D,1020257,4.895806061285426,2564,599,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Y-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-Z-A,14894770,71.47405530905677,2564,2224,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-A-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-Z-B,5748515,27.58482870530679,2564,2514,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-Z-C,11845826,56.84339017691865,2564,1658,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-C-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-18-Z-D,14928463,71.63573456597231,2564,2425,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SM-19-Y-C,110227,0.5289353709088089,2564,2564,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-19-Y-C-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-18-V-B,52401,0.25145148077143076,2564,105,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-V-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-18-X-A,7510822,36.0414364937814,2564,2034,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-A-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-18-X-B,15319615,73.51271686796477,2564,2511,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-18-X-C,2654179,12.739755484229256,2564,2236,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-C-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-18-X-D,13654933,65.54211587595752,2564,2461,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-18-Z-B,2946053,14.134398342207874,2564,2410,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-Z-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-19-V-A,11189715,53.69497540429172,2564,2561,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-A-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-19-V-B,104070,0.4993903857537604,2564,2564,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-B-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-19-V-C,11928693,57.25636140834403,2564,2332,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-C-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-19-V-D,8341158,40.03660392736237,2564,2564,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-D-2015-L8-3-184F-HARM_masked.tif,2564,2564
CHILE-SN-19-X-A,35431,0.1700192251142643,2564,2564,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-X-A-2015-L8-3-184F-HARM_masked.tif,2564,2564
