cluster_id,size,representative,mean_abs_r_to_others,band_name,members
34,59,183,0.9672765372128322,band_183,15 16 17 18 19 20 21 30 31 32 33 34 35 36 52 53 54 55 56 57 58 59 60 61 62 63 64 65 88 112 113 114 115 116 117 118 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 176 177 178 179 180 181 182 183
9,10,134,0.9506610698170133,band_134,23 24 25 26 92 94 133 134 135 136
20,10,131,0.9436509211858114,band_131,6 7 49 50 78 79 110 111 131 132
26,8,74,0.9284448623657227,band_74,66 67 68 69 73 74 75 76
27,8,163,0.9311894689287458,band_163,162 163 164 165 169 170 171 172
31,8,127,0.9426687019211906,band_127,2 4 45 47 106 108 127 129
5,7,101,0.9366378784179688,band_101,38 39 40 99 100 101 102
18,6,167,0.9240939497947693,band_167,71 72 167 168 174 175
1,4,9,0.9420555233955383,band_9,9 10 11 12
19,4,126,0.9610839486122131,band_126,1 44 105 126
22,4,139,0.9129211703936259,band_139,28 29 138 139
29,4,130,0.9585645198822021,band_130,5 48 109 130
30,4,128,0.9598700404167175,band_128,3 46 107 128
32,4,141,0.9344292680422465,band_141,141 142 143 144
33,4,83,0.9526528517405192,band_83,83 84 85 86
0,3,42,0.999597430229187,band_42,37 42 43
3,3,81,0.9422290027141571,band_81,80 81 89
21,3,124,0.9376861155033112,band_124,123 124 125
6,2,41,0.9337928891181946,band_41,41 98
7,2,93,0.9020208120346069,band_93,93 95
8,2,27,0.9988882541656494,band_27,27 137
11,2,120,0.925422728061676,band_120,120 121
23,2,103,0.9429069757461548,band_103,103 104
24,2,96,0.9424553513526917,band_96,96 97
25,2,70,0.9391814470291138,band_70,70 77
28,2,166,0.978321373462677,band_166,166 173
36,2,82,0.9691882729530334,band_82,82 87
37,2,140,0.9207335710525513,band_140,140 145
2,1,8,1.0,band_8,8
4,1,90,1.0,band_90,90
10,1,91,1.0,band_91,91
12,1,122,1.0,band_122,122
13,1,119,1.0,band_119,119
14,1,22,1.0,band_22,22
15,1,154,1.0,band_154,154
16,1,13,1.0,band_13,13
17,1,14,1.0,band_14,14
35,1,51,1.0,band_51,51
38,1,0,1.0,band_0,0
