representative,band_name,cluster_id,size,source,family
0,band_0,38,6,central,band
8,band_8,2,6,central,band
9,band_9,1,6,central,band
13,band_13,16,6,central,band
14,band_14,17,6,central,band
22,band_22,14,6,central,band
27,band_27,8,6,central,band
41,band_41,6,6,central,band
42,band_42,0,6,central,band
51,band_51,35,6,central,band
70,band_70,25,6,central,band
74,band_74,26,6,central,band
81,band_81,3,6,central,band
82,band_82,36,6,central,band
83,band_83,33,6,central,band
90,band_90,4,6,central,band
91,band_91,10,6,central,band
93,band_93,7,6,central,band
96,band_96,24,6,central,band
101,band_101,5,6,central,band
103,band_103,23,6,central,band
119,band_119,13,6,central,band
120,band_120,11,6,central,band
122,band_122,12,6,central,band
124,band_124,21,6,central,band
126,band_126,19,6,central,band
127,band_127,31,6,central,band
128,band_128,30,6,central,band
130,band_130,29,6,central,band
131,band_131,20,6,central,band
134,band_134,9,6,central,band
139,band_139,22,6,central,band
140,band_140,37,6,central,band
141,band_141,32,6,central,band
154,band_154,15,6,central,band
163,band_163,27,6,central,band
166,band_166,28,6,central,band
167,band_167,18,6,central,band
183,band_183,34,6,central,band
