rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,19,band_19,0.746716890030469,0.0,55,13
2,115,band_115,0.7248753717885256,0.0,55,13
3,116,band_116,0.6929887779420236,0.0,21,13
4,113,band_113,0.6279784793609628,0.0,66,13
5,118,band_118,0.6087298657129859,0.0,78,13
6,18,band_18,0.4760692694070343,0.0,78,13
7,159,band_159,0.4082150877388973,0.0,55,13
8,16,band_16,0.37859967629407465,0.0,78,13
9,21,band_21,0.3679544689086625,0.0,78,13
10,180,band_180,0.2955724578253203,0.0,78,13
11,117,band_117,0.24574627812726207,0.0,78,13
12,178,band_178,0.24038039776921166,0.0,78,13
13,17,band_17,0.23950951217136798,0.0,78,13
14,112,band_112,0.23753944106229022,0.0,78,13
15,58,band_58,0.2334755369771533,0.0,78,13
16,114,band_114,0.22741403002546443,0.0,78,13
17,20,band_20,0.209102052192242,0.0,78,13
18,15,band_15,0.20707624615957088,0.0,78,13
19,133,band_133,0.20696676864253427,0.0,78,13
20,55,band_55,0.19426688590801502,0.0,66,13
21,30,band_30,0.18939701678217202,0.0,55,13
22,148,band_148,0.18357465089426137,0.0,78,13
23,23,band_23,0.18169003244701337,0.0,78,13
24,157,band_157,0.17552019433354335,0.0,78,13
25,150,band_150,0.17400411592324033,0.0,78,13
26,62,band_62,0.1724615785049227,0.0,66,13
27,60,band_60,0.1712062759023299,0.0,66,13
28,53,band_53,0.14395912610519995,0.0,66,13
29,52,band_52,0.14379582193318288,0.0,78,13
30,161,band_161,0.1406044319772228,0.0,78,13
31,146,band_146,0.12110167320964248,0.0,78,13
32,99,band_99,0.12069263745421538,0.0,78,13
33,94,band_94,0.1179834075066747,0.0,78,13
34,22,band_22,0.11787653591399103,0.0,78,13
35,136,band_136,0.117686306019495,0.0,78,13
36,149,band_149,0.11104060783415694,0.0,78,13
37,92,band_92,0.10308779004729442,0.0,78,13
38,26,band_26,0.10268078547225884,0.0,78,13
39,158,band_158,0.0969367276467503,0.0,78,13
40,57,band_57,0.09657592845122338,0.0,78,13
41,6,band_6,0.09618625847303768,0.0,78,13
42,1,band_1,0.09309521889637888,0.0,78,13
43,102,band_102,0.08958969883634071,0.0,78,13
44,101,band_101,0.0874581765674684,0.0,78,13
45,32,band_32,0.08489781811698531,0.0,78,13
46,91,band_91,0.08272952207101336,0.0,78,13
47,7,band_7,0.079370882905616,0.0,78,13
48,147,band_147,0.07654227146816724,0.0,78,13
49,143,band_143,0.0746887530120249,0.0,78,13
50,50,band_50,0.07211114295906615,0.0,78,13
51,140,band_140,0.06632947730611986,0.0,55,13
52,181,band_181,0.06034805963024137,0.0,66,13
53,49,band_49,0.05666451469208445,0.0,78,13
54,156,band_156,0.05660255699541576,0.0,78,13
55,132,band_132,0.05585956880207092,0.0,78,13
56,155,band_155,0.05549354544754323,0.0,78,13
57,9,band_9,0.05077527221008016,0.0,78,13
58,44,band_44,0.049375785620780335,0.0,78,13
59,153,band_153,0.04860336685359352,0.0,78,13
60,151,band_151,0.04626997896300267,0.0,78,13
61,36,band_36,0.045141101856139,0.0,78,13
62,33,band_33,0.04498543687835388,0.0,78,13
63,166,band_166,0.04254107723094641,0.0,78,13
