representative,band_name,cluster_id,size,source,family
0,band_0,79,6,central,band
1,band_1,31,6,central,band
2,band_2,62,6,central,band
3,band_3,58,6,central,band
5,band_5,57,6,central,band
7,band_7,33,6,central,band
8,band_8,3,6,central,band
9,band_9,1,6,central,band
12,band_12,2,6,central,band
13,band_13,27,6,central,band
14,band_14,28,6,central,band
22,band_22,25,6,central,band
25,band_25,18,6,central,band
27,band_27,16,6,central,band
28,band_28,40,6,central,band
29,band_29,39,6,central,band
38,band_38,8,6,central,band
40,band_40,9,6,central,band
41,band_41,12,6,central,band
42,band_42,0,6,central,band
47,band_47,63,6,central,band
49,band_49,34,6,central,band
51,band_51,75,6,central,band
64,band_64,72,6,central,band
66,band_66,47,6,central,band
67,band_67,50,6,central,band
68,band_68,48,6,central,band
70,band_70,45,6,central,band
71,band_71,29,6,central,band
74,band_74,49,6,central,band
77,band_77,46,6,central,band
78,band_78,35,6,central,band
80,band_80,5,6,central,band
81,band_81,4,6,central,band
82,band_82,76,6,central,band
83,band_83,67,6,central,band
85,band_85,69,6,central,band
86,band_86,68,6,central,band
90,band_90,6,6,central,band
91,band_91,20,6,central,band
92,band_92,17,6,central,band
93,band_93,14,6,central,band
95,band_95,15,6,central,band
96,band_96,43,6,central,band
97,band_97,44,6,central,band
98,band_98,13,6,central,band
99,band_99,7,6,central,band
100,band_100,10,6,central,band
102,band_102,11,6,central,band
103,band_103,41,6,central,band
104,band_104,42,6,central,band
105,band_105,32,6,central,band
106,band_106,60,6,central,band
107,band_107,59,6,central,band
108,band_108,61,6,central,band
111,band_111,36,6,central,band
119,band_119,24,6,central,band
120,band_120,21,6,central,band
121,band_121,22,6,central,band
122,band_122,23,6,central,band
123,band_123,38,6,central,band
124,band_124,37,6,central,band
130,band_130,56,6,central,band
136,band_136,19,6,central,band
140,band_140,77,6,central,band
141,band_141,64,6,central,band
142,band_142,65,6,central,band
144,band_144,66,6,central,band
145,band_145,78,6,central,band
146,band_146,74,6,central,band
148,band_148,70,6,central,band
154,band_154,26,6,central,band
156,band_156,71,6,central,band
162,band_162,51,6,central,band
163,band_163,54,6,central,band
164,band_164,52,6,central,band
165,band_165,53,6,central,band
166,band_166,55,6,central,band
168,band_168,30,6,central,band
183,band_183,73,6,central,band
