band_index,cluster_id,band_name
0,44,band_0
1,23,band_1
2,42,band_2
3,22,band_3
4,42,band_4
5,41,band_5
6,23,band_6
7,23,band_7
8,26,band_8
9,6,band_9
10,27,band_10
11,6,band_11
12,33,band_12
13,26,band_13
14,45,band_14
15,4,band_15
16,4,band_16
17,4,band_17
18,4,band_18
19,4,band_19
20,4,band_20
21,4,band_21
22,24,band_22
23,12,band_23
24,12,band_24
25,15,band_25
26,12,band_26
27,14,band_27
28,3,band_28
29,3,band_29
30,4,band_30
31,4,band_31
32,4,band_32
33,4,band_33
34,4,band_34
35,4,band_35
36,4,band_36
37,0,band_37
38,13,band_38
39,16,band_39
40,13,band_40
41,17,band_41
42,0,band_42
43,0,band_43
44,23,band_44
45,42,band_45
46,22,band_46
47,42,band_47
48,41,band_48
49,23,band_49
50,23,band_50
51,4,band_51
52,4,band_52
53,4,band_53
54,4,band_54
55,4,band_55
56,4,band_56
57,4,band_57
58,4,band_58
59,4,band_59
60,4,band_60
61,4,band_61
62,4,band_62
63,4,band_63
64,4,band_64
65,4,band_65
66,4,band_66
67,4,band_67
68,4,band_68
69,4,band_69
70,4,band_70
71,20,band_71
72,20,band_72
73,4,band_73
74,4,band_74
75,5,band_75
76,4,band_76
77,5,band_77
78,23,band_78
79,23,band_79
80,1,band_80
81,1,band_81
82,4,band_82
83,4,band_83
84,4,band_84
85,4,band_85
86,4,band_86
87,4,band_87
88,4,band_88
89,2,band_89
90,9,band_90
91,10,band_91
92,13,band_92
93,16,band_93
94,11,band_94
95,18,band_95
96,30,band_96
97,30,band_97
98,31,band_98
99,7,band_99
100,19,band_100
101,7,band_101
102,8,band_102
103,31,band_103
104,31,band_104
105,23,band_105
106,40,band_106
107,22,band_107
108,40,band_108
109,41,band_109
110,23,band_110
111,23,band_111
112,4,band_112
113,4,band_113
114,4,band_114
115,4,band_115
116,4,band_116
117,4,band_117
118,4,band_118
119,32,band_119
120,34,band_120
121,25,band_121
122,35,band_122
123,29,band_123
124,28,band_124
125,28,band_125
126,23,band_126
127,42,band_127
128,22,band_128
129,42,band_129
130,41,band_130
131,23,band_131
132,23,band_132
133,12,band_133
134,12,band_134
135,15,band_135
136,12,band_136
137,14,band_137
138,3,band_138
139,3,band_139
140,4,band_140
141,4,band_141
142,4,band_142
143,4,band_143
144,4,band_144
145,4,band_145
146,4,band_146
147,4,band_147
148,4,band_148
149,4,band_149
150,4,band_150
151,4,band_151
152,4,band_152
153,4,band_153
154,43,band_154
155,4,band_155
156,4,band_156
157,4,band_157
158,4,band_158
159,4,band_159
160,4,band_160
161,4,band_161
162,38,band_162
163,39,band_163
164,36,band_164
165,39,band_165
166,37,band_166
167,21,band_167
168,21,band_168
169,38,band_169
170,39,band_170
171,36,band_171
172,39,band_172
173,37,band_173
174,21,band_174
175,21,band_175
176,4,band_176
177,4,band_177
178,4,band_178
179,4,band_179
180,4,band_180
181,4,band_181
182,4,band_182
183,4,band_183
