representative,band_name,cluster_id,size,source,family
0,band_0,25,6,central,band
8,band_8,8,6,central,band
9,band_9,15,6,central,band
10,band_10,9,6,central,band
13,band_13,26,6,central,band
14,band_14,33,6,central,band
37,band_37,0,6,central,band
38,band_38,27,6,central,band
39,band_39,28,6,central,band
41,band_41,29,6,central,band
46,band_46,2,6,central,band
48,band_48,13,6,central,band
50,band_50,14,6,central,band
71,band_71,3,6,central,band
78,band_78,4,6,central,band
80,band_80,12,6,central,band
89,band_89,18,6,central,band
90,band_90,7,6,central,band
91,band_91,19,6,central,band
93,band_93,20,6,central,band
96,band_96,22,6,central,band
97,band_97,32,6,central,band
98,band_98,5,6,central,band
102,band_102,6,6,central,band
103,band_103,23,6,central,band
104,band_104,31,6,central,band
119,band_119,10,6,central,band
120,band_120,16,6,central,band
122,band_122,11,6,central,band
123,band_123,21,6,central,band
124,band_124,24,6,central,band
125,band_125,30,6,central,band
131,band_131,1,6,central,band
177,band_177,17,6,central,band
