cluster_id,size,representative,mean_abs_r_to_others,band_name,members
12,126,83,0.9855060195922851,band_83,9 11 12 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 91 92 93 94 95 97 104 112 113 114 115 116 117 118 119 120 121 125 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183
2,17,105,0.9508054628968239,band_105,1 3 6 7 44 46 49 50 79 105 107 110 111 126 128 131 132
13,12,48,0.9611901044845581,band_48,2 4 5 45 47 48 106 108 109 127 129 130
8,3,101,0.9629274606704712,band_101,99 101 102
17,3,39,0.9984801113605499,band_39,38 39 41
3,2,71,0.9484138488769531,band_71,71 72
5,2,96,0.9454920887947083,band_96,96 103
7,2,98,0.9730536341667175,band_98,98 100
10,2,80,0.9837165474891663,band_80,80 81
11,2,122,0.9323098063468933,band_122,122 123
19,2,42,0.9806275367736816,band_42,42 43
0,1,8,1.0,band_8,8
1,1,13,1.0,band_13,13
4,1,78,1.0,band_78,78
6,1,124,1.0,band_124,124
9,1,90,1.0,band_90,90
14,1,89,1.0,band_89,89
15,1,10,1.0,band_10,10
16,1,0,1.0,band_0,0
18,1,40,1.0,band_40,40
20,1,37,1.0,band_37,37
21,1,14,1.0,band_14,14
