representative,band_name,cluster_id,size,source,family
0,band_0,16,6,central,band
8,band_8,0,6,central,band
10,band_10,15,6,central,band
13,band_13,1,6,central,band
14,band_14,21,6,central,band
37,band_37,20,6,central,band
39,band_39,17,6,central,band
40,band_40,18,6,central,band
42,band_42,19,6,central,band
48,band_48,13,6,central,band
71,band_71,3,6,central,band
78,band_78,4,6,central,band
80,band_80,10,6,central,band
83,band_83,12,6,central,band
89,band_89,14,6,central,band
90,band_90,9,6,central,band
96,band_96,5,6,central,band
98,band_98,7,6,central,band
101,band_101,8,6,central,band
105,band_105,2,6,central,band
122,band_122,11,6,central,band
124,band_124,6,6,central,band
