band_index,cluster_id,band_name
0,66,band_0
1,13,band_1
2,26,band_2
3,21,band_3
4,27,band_4
5,23,band_5
6,12,band_6
7,9,band_7
8,1,band_8
9,51,band_9
10,51,band_10
11,52,band_11
12,53,band_12
13,2,band_13
14,3,band_14
15,58,band_15
16,58,band_16
17,58,band_17
18,58,band_18
19,58,band_19
20,58,band_20
21,58,band_21
22,4,band_22
23,56,band_23
24,60,band_24
25,60,band_25
26,56,band_26
27,59,band_27
28,40,band_28
29,55,band_29
30,58,band_30
31,58,band_31
32,58,band_32
33,58,band_33
34,58,band_34
35,58,band_35
36,58,band_36
37,0,band_37
38,46,band_38
39,47,band_39
40,0,band_40
41,48,band_41
42,0,band_42
43,0,band_43
44,13,band_44
45,26,band_45
46,21,band_46
47,27,band_47
48,22,band_48
49,12,band_49
50,9,band_50
51,58,band_51
52,58,band_52
53,58,band_53
54,58,band_54
55,58,band_55
56,58,band_56
57,58,band_57
58,58,band_58
59,58,band_59
60,58,band_60
61,58,band_61
62,58,band_62
63,58,band_63
64,58,band_64
65,58,band_65
66,58,band_66
67,58,band_67
68,58,band_68
69,58,band_69
70,57,band_70
71,7,band_71
72,8,band_72
73,58,band_73
74,58,band_74
75,58,band_75
76,58,band_76
77,57,band_77
78,10,band_78
79,11,band_79
80,49,band_80
81,50,band_81
82,58,band_82
83,58,band_83
84,58,band_84
85,58,band_85
86,58,band_86
87,58,band_87
88,58,band_88
89,65,band_89
90,19,band_90
91,41,band_91
92,45,band_92
93,43,band_93
94,42,band_94
95,44,band_95
96,36,band_96
97,37,band_97
98,14,band_98
99,16,band_99
100,15,band_100
101,17,band_101
102,18,band_102
103,38,band_103
104,39,band_104
105,13,band_105
106,24,band_106
107,20,band_107
108,25,band_108
109,22,band_109
110,12,band_110
111,9,band_111
112,58,band_112
113,58,band_113
114,58,band_114
115,58,band_115
116,58,band_116
117,58,band_117
118,58,band_118
119,64,band_119
120,61,band_120
121,62,band_121
122,63,band_122
123,35,band_123
124,33,band_124
125,34,band_125
126,13,band_126
127,24,band_127
128,20,band_128
129,27,band_129
130,22,band_130
131,12,band_131
132,9,band_132
133,56,band_133
134,60,band_134
135,60,band_135
136,56,band_136
137,59,band_137
138,40,band_138
139,55,band_139
140,58,band_140
141,58,band_141
142,58,band_142
143,58,band_143
144,58,band_144
145,58,band_145
146,58,band_146
147,58,band_147
148,58,band_148
149,58,band_149
150,58,band_150
151,58,band_151
152,58,band_152
153,58,band_153
154,5,band_154
155,58,band_155
156,58,band_156
157,58,band_157
158,58,band_158
159,58,band_159
160,58,band_160
161,58,band_161
162,29,band_162
163,32,band_163
164,31,band_164
165,30,band_165
166,28,band_166
167,6,band_167
168,54,band_168
169,29,band_169
170,32,band_170
171,31,band_171
172,30,band_172
173,28,band_173
174,6,band_174
175,54,band_175
176,58,band_176
177,58,band_177
178,58,band_178
179,58,band_179
180,58,band_180
181,58,band_181
182,58,band_182
183,58,band_183
