representative,band_name,cluster_id,size,source,family
0,band_0,26,6,central,band
7,band_7,24,6,central,band
8,band_8,5,6,central,band
9,band_9,17,6,central,band
10,band_10,19,6,central,band
14,band_14,27,6,central,band
28,band_28,13,6,central,band
38,band_38,4,6,central,band
39,band_39,2,6,central,band
40,band_40,1,6,central,band
41,band_41,3,6,central,band
42,band_42,0,6,central,band
45,band_45,9,6,central,band
71,band_71,22,6,central,band
80,band_80,12,6,central,band
90,band_90,10,6,central,band
93,band_93,11,6,central,band
96,band_96,21,6,central,band
98,band_98,20,6,central,band
101,band_101,8,6,central,band
104,band_104,14,6,central,band
120,band_120,16,6,central,band
122,band_122,6,6,central,band
123,band_123,7,6,central,band
124,band_124,25,6,central,band
131,band_131,23,6,central,band
154,band_154,18,6,central,band
180,band_180,15,6,central,band
