representative,band_name,cluster_id,size,source,family
0,band_0,34,6,central,band
8,band_8,2,6,central,band
10,band_10,32,6,central,band
11,band_11,30,6,central,band
14,band_14,35,6,central,band
24,band_24,26,6,central,band
27,band_27,24,6,central,band
28,band_28,20,6,central,band
35,band_35,29,6,central,band
38,band_38,4,6,central,band
39,band_39,5,6,central,band
40,band_40,1,6,central,band
41,band_41,6,6,central,band
42,band_42,0,6,central,band
71,band_71,11,6,central,band
80,band_80,14,6,central,band
90,band_90,16,6,central,band
93,band_93,3,6,central,band
94,band_94,25,6,central,band
97,band_97,12,6,central,band
100,band_100,17,6,central,band
101,band_101,15,6,central,band
103,band_103,13,6,central,band
105,band_105,7,6,central,band
107,band_107,9,6,central,band
110,band_110,8,6,central,band
119,band_119,23,6,central,band
120,band_120,21,6,central,band
122,band_122,22,6,central,band
123,band_123,33,6,central,band
124,band_124,18,6,central,band
125,band_125,19,6,central,band
131,band_131,10,6,central,band
132,band_132,27,6,central,band
154,band_154,31,6,central,band
169,band_169,28,6,central,band
