representative,band_name,cluster_id,size,source,family
0,band_0,57,6,central,band
4,band_4,24,6,central,band
5,band_5,28,6,central,band
8,band_8,6,6,central,band
9,band_9,51,6,central,band
10,band_10,53,6,central,band
12,band_12,52,6,central,band
13,band_13,7,6,central,band
14,band_14,58,6,central,band
22,band_22,54,6,central,band
28,band_28,41,6,central,band
38,band_38,16,6,central,band
39,band_39,17,6,central,band
40,band_40,18,6,central,band
41,band_41,19,6,central,band
42,band_42,0,6,central,band
45,band_45,22,6,central,band
46,band_46,8,6,central,band
48,band_48,26,6,central,band
65,band_65,46,6,central,band
71,band_71,14,6,central,band
72,band_72,15,6,central,band
79,band_79,12,6,central,band
80,band_80,33,6,central,band
89,band_89,34,6,central,band
90,band_90,35,6,central,band
91,band_91,5,6,central,band
94,band_94,48,6,central,band
96,band_96,3,6,central,band
97,band_97,42,6,central,band
98,band_98,39,6,central,band
99,band_99,36,6,central,band
100,band_100,37,6,central,band
101,band_101,38,6,central,band
102,band_102,20,6,central,band
103,band_103,4,6,central,band
104,band_104,43,6,central,band
106,band_106,23,6,central,band
107,band_107,9,6,central,band
108,band_108,25,6,central,band
109,band_109,27,6,central,band
119,band_119,40,6,central,band
120,band_120,49,6,central,band
121,band_121,50,6,central,band
122,band_122,55,6,central,band
123,band_123,21,6,central,band
124,band_124,1,6,central,band
125,band_125,2,6,central,band
131,band_131,10,6,central,band
132,band_132,11,6,central,band
134,band_134,47,6,central,band
137,band_137,44,6,central,band
154,band_154,56,6,central,band
162,band_162,31,6,central,band
164,band_164,30,6,central,band
166,band_166,29,6,central,band
167,band_167,13,6,central,band
168,band_168,45,6,central,band
170,band_170,32,6,central,band
