cluster_id,size,representative,mean_abs_r_to_others,band_name,members
46,84,65,0.9963789962860475,band_65,15 16 17 18 19 20 21 29 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 176 177 178 179 180 181 182 183
47,10,134,0.981518010298411,band_134,23 24 25 26 92 93 133 134 135 136
10,9,131,0.9834329038858414,band_131,1 6 44 49 78 105 110 126 131
11,4,132,0.9944822788238525,band_132,7 50 111 132
32,4,170,0.9640535116195679,band_170,163 165 170 172
0,3,42,0.9997406601905823,band_42,37 42 43
8,3,46,0.9926146864891052,band_46,3 46 128
22,3,45,0.9853208661079407,band_45,2 45 127
44,3,137,0.9914259910583496,band_137,27 95 137
13,2,167,0.9772326350212097,band_167,167 174
24,2,4,0.9831674098968506,band_4,4 47
25,2,108,0.9697871208190918,band_108,108 129
26,2,48,0.977767825126648,band_48,48 130
29,2,166,0.9781417846679688,band_166,166 173
30,2,164,0.9757991433143616,band_164,164 171
31,2,162,0.9676409959793091,band_162,162 169
33,2,80,0.9696463346481323,band_80,80 81
41,2,28,0.9981799721717834,band_28,28 138
45,2,168,0.9944725632667542,band_168,168 175
51,2,9,0.9745625853538513,band_9,9 11
1,1,124,1.0,band_124,124
2,1,125,1.0,band_125,125
3,1,96,1.0,band_96,96
4,1,103,1.0,band_103,103
5,1,91,1.0,band_91,91
6,1,8,1.0,band_8,8
7,1,13,1.0,band_13,13
9,1,107,1.0,band_107,107
12,1,79,1.0,band_79,79
14,1,71,1.0,band_71,71
15,1,72,1.0,band_72,72
16,1,38,1.0,band_38,38
17,1,39,1.0,band_39,39
18,1,40,1.0,band_40,40
19,1,41,1.0,band_41,41
20,1,102,1.0,band_102,102
21,1,123,1.0,band_123,123
23,1,106,1.0,band_106,106
27,1,109,1.0,band_109,109
28,1,5,1.0,band_5,5
34,1,89,1.0,band_89,89
35,1,90,1.0,band_90,90
36,1,99,1.0,band_99,99
37,1,100,1.0,band_100,100
38,1,101,1.0,band_101,101
39,1,98,1.0,band_98,98
40,1,119,1.0,band_119,119
42,1,97,1.0,band_97,97
43,1,104,1.0,band_104,104
48,1,94,1.0,band_94,94
49,1,120,1.0,band_120,120
50,1,121,1.0,band_121,121
52,1,12,1.0,band_12,12
53,1,10,1.0,band_10,10
54,1,22,1.0,band_22,22
55,1,122,1.0,band_122,122
56,1,154,1.0,band_154,154
57,1,0,1.0,band_0,0
58,1,14,1.0,band_14,14
