band_index,band_name,decision,kept_in_band_list,n_hits,n_iters,hit_rate,mean_importance,mean_shadow_max
22,band_22,confirmed,1,37,37,1.0,0.043255033561390425,0.002620250397490905
134,band_134,confirmed,1,37,37,1.0,0.0388557293486586,0.002620250397490905
90,band_90,confirmed,1,37,37,1.0,0.03336903702536168,0.002620250397490905
94,band_94,confirmed,1,37,37,1.0,0.03210059761537149,0.002620250397490905
10,band_10,confirmed,1,37,37,1.0,0.02996618741114843,0.002620250397490905
106,band_106,confirmed,1,37,37,1.0,0.026692115549630968,0.002620250397490905
9,band_9,confirmed,1,37,37,1.0,0.026505856410318985,0.002620250397490905
12,band_12,confirmed,1,37,37,1.0,0.024977322173245546,0.002620250397490905
45,band_45,confirmed,1,37,37,1.0,0.024327051523453238,0.002620250397490905
108,band_108,confirmed,1,37,37,1.0,0.024119998196191008,0.002620250397490905
91,band_91,confirmed,1,37,37,1.0,0.023909858903732876,0.002620250397490905
107,band_107,confirmed,1,37,37,1.0,0.022444229206519593,0.002620250397490905
154,band_154,confirmed,1,37,37,1.0,0.02214230121255872,0.002620250397490905
137,band_137,confirmed,1,37,37,1.0,0.021381761115977272,0.002620250397490905
4,band_4,confirmed,1,37,37,1.0,0.02006082766898191,0.002620250397490905
89,band_89,confirmed,1,37,37,1.0,0.01941596179195605,0.002620250397490905
122,band_122,confirmed,1,37,37,1.0,0.019137222998633,0.002620250397490905
48,band_48,confirmed,1,37,37,1.0,0.0181053331627845,0.002620250397490905
120,band_120,confirmed,1,37,37,1.0,0.018087116495708946,0.002620250397490905
46,band_46,confirmed,1,37,37,1.0,0.01783576312489327,0.002620250397490905
38,band_38,confirmed,1,37,37,1.0,0.017361649250611445,0.002620250397490905
28,band_28,confirmed,1,37,37,1.0,0.01730687104050036,0.002620250397490905
5,band_5,confirmed,1,37,37,1.0,0.016808280492127146,0.002620250397490905
109,band_109,confirmed,1,37,37,1.0,0.016691730756944197,0.002620250397490905
99,band_99,confirmed,1,37,37,1.0,0.016683530346277956,0.002620250397490905
101,band_101,confirmed,1,37,37,1.0,0.016487845417304983,0.002620250397490905
40,band_40,confirmed,1,37,37,1.0,0.016028673349110633,0.002620250397490905
123,band_123,confirmed,1,37,37,1.0,0.014721384053289356,0.002620250397490905
8,band_8,confirmed,1,37,37,1.0,0.013965585845023774,0.002620250397490905
39,band_39,confirmed,1,37,37,1.0,0.013747356134096377,0.002620250397490905
80,band_80,confirmed,1,37,37,1.0,0.013672092688885935,0.002620250397490905
100,band_100,confirmed,1,37,37,1.0,0.013627317118185083,0.002620250397490905
170,band_170,confirmed,1,37,37,1.0,0.013184038779496383,0.002620250397490905
125,band_125,confirmed,1,37,37,1.0,0.012674591251984817,0.002620250397490905
102,band_102,confirmed,1,37,37,1.0,0.012558442629129876,0.002620250397490905
121,band_121,confirmed,1,37,37,1.0,0.012523268913440983,0.002620250397490905
97,band_97,confirmed,1,37,37,1.0,0.011797506926975515,0.002620250397490905
119,band_119,confirmed,1,37,37,1.0,0.011070179572724803,0.002620250397490905
124,band_124,confirmed,1,37,37,1.0,0.010165779747531415,0.002620250397490905
164,band_164,confirmed,1,37,37,1.0,0.009683157722132945,0.002620250397490905
96,band_96,confirmed,1,37,37,1.0,0.009371344419111733,0.002620250397490905
98,band_98,confirmed,1,37,37,1.0,0.008836127776383462,0.002620250397490905
41,band_41,confirmed,1,37,37,1.0,0.008649402538622179,0.002620250397490905
166,band_166,confirmed,1,37,37,1.0,0.007930004010921076,0.002620250397490905
42,band_42,confirmed,1,37,37,1.0,0.006975039846619852,0.002620250397490905
162,band_162,confirmed,1,37,37,1.0,0.0067028288452478995,0.002620250397490905
65,band_65,confirmed,1,37,37,1.0,0.006376820964010416,0.002620250397490905
131,band_131,confirmed,1,37,37,1.0,0.005037224739328867,0.002620250397490905
132,band_132,confirmed,1,37,37,1.0,0.004345511600283229,0.002620250397490905
14,band_14,confirmed,1,37,37,1.0,0.004139641727885756,0.002620250397490905
13,band_13,confirmed,1,37,37,1.0,0.003861061489648844,0.002620250397490905
168,band_168,confirmed,1,37,37,1.0,0.003704309389204023,0.002620250397490905
103,band_103,confirmed,1,35,37,0.9459459459459459,0.0035690295179546766,0.002620250397490905
79,band_79,confirmed,1,34,37,0.918918918918919,0.004000476202077582,0.002620250397490905
104,band_104,confirmed,1,33,37,0.8918918918918919,0.004002243056167224,0.002620250397490905
0,band_0,confirmed,1,33,37,0.8918918918918919,0.0033232211200188854,0.002620250397490905
72,band_72,confirmed,1,33,37,0.8918918918918919,0.0030482892627177807,0.002620250397490905
167,band_167,confirmed,1,32,37,0.8648648648648649,0.0033112395681338803,0.002620250397490905
71,band_71,confirmed,1,28,37,0.7567567567567568,0.0029051343173836335,0.002620250397490905
