representative,band_name,cluster_id,size,source,family
0,band_0,32,6,central,band
8,band_8,4,6,central,band
9,band_9,27,6,central,band
10,band_10,28,6,central,band
14,band_14,33,6,central,band
22,band_22,29,6,central,band
28,band_28,23,6,central,band
38,band_38,9,6,central,band
40,band_40,10,6,central,band
41,band_41,11,6,central,band
42,band_42,0,6,central,band
48,band_48,15,6,central,band
62,band_62,25,6,central,band
71,band_71,8,6,central,band
80,band_80,18,6,central,band
89,band_89,19,6,central,band
91,band_91,3,6,central,band
96,band_96,2,6,central,band
98,band_98,22,6,central,band
99,band_99,20,6,central,band
101,band_101,21,6,central,band
102,band_102,12,6,central,band
120,band_120,26,6,central,band
122,band_122,30,6,central,band
123,band_123,13,6,central,band
124,band_124,1,6,central,band
127,band_127,14,6,central,band
128,band_128,5,6,central,band
131,band_131,6,6,central,band
137,band_137,24,6,central,band
154,band_154,31,6,central,band
163,band_163,17,6,central,band
166,band_166,16,6,central,band
167,band_167,7,6,central,band
