YEAR	GRID_NAME	SATELLITE	BLACK LIST	USETILEMASK	SATELLITE_COMMENT
2008	SE-19-Z-A	L7		true	
2009	SE-19-Z-A	L7		true	
2010	SE-19-Z-A	L7		true	
2011	SE-19-Z-A	L7		true	
2012	SE-19-Z-A	L7	LE07_001072_20120408,LE07_001072_20120119,LE07_233073_20120417,LE07_001073_20120323,LE07_001073_20120307,LE07_001073_20121118,LE07_001073_20120424,LE07_001073_20120510,LE07_001073_20120611,LE07_001073_20121001,LE07_233073_20120128,LE07_001072_20120424,LE07_001072_20120915,LE07_001072_20121204,LE07_001073_20120103,LE07_001073_20120408,LE07_233073_20121229,LE07_233073_20121127	true	
2013	SE-19-Z-A	L8		true	
2014	SE-19-Z-A	L8		true	
2015	SE-19-Z-A	L8		true	
2016	SE-19-Z-A	L8		true	
2017	SE-19-Z-A	L8		true	
2018	SE-19-Z-A	L8		true	
2019	SE-19-Z-A	L8		true	
2020	SE-19-Z-A	L8		true	
2021	SE-19-Z-A	L8		true	
2022	SE-19-Z-A	L8		true	
2023	SE-19-Z-A	L9		true	
2024	SE-19-Z-A	L9		true	
2025	SE-19-Z-A	L9		true	
1996	SF-19-Y-D	L5		true	
1997	SF-19-Y-D	L5		true	
1998	SF-19-Y-D	L5		true	
1999	SF-19-Y-D	L5		true	
2000	SF-19-Y-D	L7		true	
2001	SF-19-Y-D	L7		true	
2002	SF-19-Y-D	L7		true	
2003	SF-19-Y-D	L7		true	
2004	SF-19-Y-D	L7		true	
2005	SF-19-Y-D	L7		true	
2006	SF-19-Y-D	L7		true	
2007	SF-19-Y-D	L7		true	
2008	SF-19-Y-D	L7		true	
2009	SF-19-Y-D	L7		true	
2010	SF-19-Y-D	L7		true	
2011	SF-19-Y-D	L7		true	
2012	SF-19-Y-D	L7		true	
2013	SF-19-Y-D	L8		true	
2014	SF-19-Y-D	L8		true	
2015	SF-19-Y-D	L8		true	
2016	SF-19-Y-D	L8		true	
2017	SF-19-Y-D	L8		true	
2018	SF-19-Y-D	L8		true	
2019	SF-19-Y-D	L8		true	
2020	SF-19-Y-D	L8		true	
2021	SF-19-Y-D	L8		true	
2022	SF-19-Y-D	L8		true	
2023	SF-19-Y-D	L9		true	
2024	SF-19-Y-D	L9		true	
2025	SF-19-Y-D	L9		true	
1996	SF-19-Z-C	L5		true	
1997	SF-19-Z-C	L5		true	
1998	SF-19-Z-C	L5		true	
1999	SF-19-Z-C	L5		true	
2000	SF-19-Z-C	L7		true	
2001	SF-19-Z-C	L7		true	
2002	SF-19-Z-C	L7		true	
2003	SF-19-Z-C	L5		true	
2004	SF-19-Z-C	L7		true	
2005	SF-19-Z-C	L7		true	
2006	SF-19-Z-C	L7		true	
2007	SF-19-Z-C	L7		true	
2008	SF-19-Z-C	L7		true	
2009	SF-19-Z-C	L7		true	
2010	SF-19-Z-C	L7		true	
2011	SF-19-Z-C	L7		true	
2012	SF-19-Z-C	L7		true	satellite anterior (anómalo): 99/55
2013	SF-19-Z-C	L8		true	
2014	SF-19-Z-C	L8		true	
2015	SF-19-Z-C	L8		true	
2016	SF-19-Z-C	L8		true	
2017	SF-19-Z-C	L8		true	
2018	SF-19-Z-C	L8		true	
2019	SF-19-Z-C	L8		true	
2020	SF-19-Z-C	L8		true	
2021	SF-19-Z-C	L8		true	
2022	SF-19-Z-C	L8		true	
2023	SF-19-Z-C	L9		true	
2024	SF-19-Z-C	L9		true	
2025	SF-19-Z-C	L9		true	
1996	SF-19-Z-D	L5		true	
1997	SF-19-Z-D	L5		true	
1998	SF-19-Z-D	L5		true	
1999	SF-19-Z-D	L5		true	
2000	SF-19-Z-D	L5		true	
2001	SF-19-Z-D	L7		true	
2002	SF-19-Z-D	L7		true	
2003	SF-19-Z-D	L7		true	
2004	SF-19-Z-D	L7		true	
2005	SF-19-Z-D	L7		true	
2006	SF-19-Z-D	L7		true	
2007	SF-19-Z-D	L7		true	
2008	SF-19-Z-D	L7		true	
2009	SF-19-Z-D	L7		true	
2010	SF-19-Z-D	L7		true	
2011	SF-19-Z-D	L7		true	
2012	SF-19-Z-D	L7	LE07_233076_20121213,LE07_233076_20120503,LE07_233076_20120213,LE07_233076_20120112,LE07_232077_20121222,LE07_232077_20121120,LE07_232077_20120613,LE07_232077_20120410,LE07_232077_20120105,LE07_232076_20121222,LE07_232076_20121120,LE07_232076_20120901,LE07_232076_20120613,LE07_232076_20120410,LE07_232076_20120105,LE07_231077_20120926,LE07_231077_20120403,LE07_231077_20120302,LE07_231077_20120215,LE07_231077_20120114	true	
2013	SF-19-Z-D	L8		true	
2014	SF-19-Z-D	L8		true	
2015	SF-19-Z-D	L8		true	
2016	SF-19-Z-D	L8		true	
2017	SF-19-Z-D	L8		true	
2018	SF-19-Z-D	L8		true	
2019	SF-19-Z-D	L8		true	
2020	SF-19-Z-D	L8		true	
2021	SF-19-Z-D	L8		true	
2022	SF-19-Z-D	L8		true	
2023	SF-19-Z-D	L8		true	
2024	SF-19-Z-D	L9		true	
2025	SF-19-Z-D	L8		true	
1996	SG-19-V-A	L5		true	
1997	SG-19-V-A	L5	LT05_001077_19970101,LT05_001077_19970117,LT05_001077_19970525,LT05_001077_19970626	true	
1998	SG-19-V-A	L5		true	
1999	SG-19-V-A	L5		true	
2000	SG-19-V-A	L7		true	
2001	SG-19-V-A	L7		true	
2002	SG-19-V-A	L7		true	
2003	SG-19-V-A	L5		true	
2004	SG-19-V-A	L7		true	
2005	SG-19-V-A	L7		true	
2006	SG-19-V-A	L7		true	
2007	SG-19-V-A	L7		true	
2008	SG-19-V-A	L7		true	
2009	SG-19-V-A	L7		true	
2010	SG-19-V-A	L7		true	
2011	SG-19-V-A	L7		true	
2012	SG-19-V-A	L7		true	satellite anterior (anómalo): 99
2013	SG-19-V-A	L8		true	
2014	SG-19-V-A	L8		true	
2015	SG-19-V-A	L8		true	
2016	SG-19-V-A	L8		true	
2017	SG-19-V-A	L8		true	
2018	SG-19-V-A	L8		true	
2019	SG-19-V-A	L8		true	
2020	SG-19-V-A	L8		true	
2021	SG-19-V-A	L8		true	
2022	SG-19-V-A	L8		true	
2023	SG-19-V-A	L8		true	
2024	SG-19-V-A	L9		true	
2025	SG-19-V-A	L9		true	
1996	SG-19-Z-A	L5		true	
1997	SG-19-Z-A	L5		true	
1998	SG-19-Z-A	L5		true	
1999	SG-19-Z-A	L5		true	
2000	SG-19-Z-A	L7		true	
2001	SG-19-Z-A	L7		true	
2002	SG-19-Z-A	L5		true	
2003	SG-19-Z-A	L7		true	
2004	SG-19-Z-A	L7		true	
2005	SG-19-Z-A	L7		true	
2006	SG-19-Z-A	L7		true	
2007	SG-19-Z-A	L7		true	
2008	SG-19-Z-A	L7		true	
2009	SG-19-Z-A	L7		true	
2010	SG-19-Z-A	L7		true	
2011	SG-19-Z-A	L7		true	
2012	SG-19-Z-A	L7		true	
2013	SG-19-Z-A	L8		true	
2014	SG-19-Z-A	L8		true	
2015	SG-19-Z-A	L8		true	
2016	SG-19-Z-A	L8		true	
2017	SG-19-Z-A	L8		true	
2018	SG-19-Z-A	L8		true	
2019	SG-19-Z-A	L8		true	
2020	SG-19-Z-A	L8		true	
2021	SG-19-Z-A	L8		true	
2022	SG-19-Z-A	L8		true	
2023	SG-19-Z-A	L9		true	
2024	SG-19-Z-A	L8		true	
2025	SG-19-Z-A	L7		true	
1996	SG-19-Y-C	L5		true	
1997	SG-19-Y-C	L5		true	
1998	SG-19-Y-C	L5		true	
1999	SG-19-Y-C	L5		true	
2000	SG-19-Y-C	L7		true	
2001	SG-19-Y-C	L7		true	
2002	SG-19-Y-C	L7		true	
2003	SG-19-Y-C	L5		true	
2004	SG-19-Y-C	L7		true	
2005	SG-19-Y-C	L7		true	
2006	SG-19-Y-C	L7		true	
2007	SG-19-Y-C	L7		true	
2008	SG-19-Y-C	L7		true	
2009	SG-19-Y-C	L7		true	
2010	SG-19-Y-C	L7		true	
2011	SG-19-Y-C	L7		true	
2012	SG-19-Y-C	L7		true	
2013	SG-19-Y-C	L8		true	
2014	SG-19-Y-C	L8		true	
2015	SG-19-Y-C	L8		true	
2016	SG-19-Y-C	L8		true	
2017	SG-19-Y-C	L8		true	
2018	SG-19-Y-C	L8		true	
2019	SG-19-Y-C	L8		true	
2020	SG-19-Y-C	L8		true	
2021	SG-19-Y-C	L8		true	
2022	SG-19-Y-C	L8		true	
2023	SG-19-Y-C	L9		true	
2024	SG-19-Y-C	L9		true	
2025	SG-19-Y-C	L9		true	
1996	SG-19-Y-D	L5		true	
1997	SG-19-Y-D	L5		true	
1998	SG-19-Y-D	L5		true	
1999	SG-19-Y-D	L5		true	
2000	SG-19-Y-D	L7		true	
2001	SG-19-Y-D	L7		true	
2002	SG-19-Y-D	L7		true	
2003	SG-19-Y-D	L7		true	
2004	SG-19-Y-D	L7		true	
2005	SG-19-Y-D	L7		true	
2006	SG-19-Y-D	L7		true	
2007	SG-19-Y-D	L5		true	
2008	SG-19-Y-D	L7		true	
2009	SG-19-Y-D	L7		true	
2010	SG-19-Y-D	L7		true	
2011	SG-19-Y-D	L7		true	
2012	SG-19-Y-D	L7		true	
2013	SG-19-Y-D	L8		true	
2014	SG-19-Y-D	L8		true	
2015	SG-19-Y-D	L8		true	
2016	SG-19-Y-D	L8		true	
2017	SG-19-Y-D	L8		true	
2018	SG-19-Y-D	L8		true	
2019	SG-19-Y-D	L8		true	
2020	SG-19-Y-D	L8		true	
