cluster_id,size,representative,mean_abs_r_to_others,band_name,members
21,86,58,0.995551189955543,band_58,15 16 17 18 19 20 21 29 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 168 175 176 177 178 179 180 181 182 183
37,14,131,0.9704942153050349,band_131,1 6 7 44 49 50 78 79 105 110 111 126 131 132
15,10,134,0.9521927568647597,band_134,23 24 25 26 27 133 134 135 136 137
20,6,47,0.96132732629776,band_47,4 5 47 48 129 130
19,4,170,0.9689565499623617,band_170,163 165 170 172
23,4,171,0.93637086947759,band_171,164 166 171 173
36,4,128,0.9897931019465128,band_128,3 46 107 128
0,3,42,0.9949324727058411,band_42,37 42 43
14,3,92,0.9483236968517303,band_92,92 93 94
43,3,45,0.9915603995323181,band_45,2 45 127
12,2,28,0.9925311207771301,band_28,28 138
13,2,80,0.9448750615119934,band_80,80 81
17,2,167,0.9762983918190002,band_167,167 174
18,2,162,0.9686124920845032,band_162,162 169
34,2,8,0.9681563377380371,band_8,8 13
35,2,71,0.9521936774253845,band_71,71 72
38,2,9,0.9722684621810913,band_9,9 11
41,2,99,0.9005610346794128,band_99,99 101
1,1,97,1.0,band_97,97
2,1,104,1.0,band_104,104
3,1,96,1.0,band_96,96
4,1,98,1.0,band_98,98
5,1,103,1.0,band_103,103
6,1,124,1.0,band_124,124
7,1,125,1.0,band_125,125
8,1,119,1.0,band_119,119
9,1,154,1.0,band_154,154
10,1,122,1.0,band_122,122
11,1,123,1.0,band_123,123
16,1,91,1.0,band_91,91
22,1,120,1.0,band_120,120
24,1,106,1.0,band_106,106
25,1,108,1.0,band_108,108
26,1,109,1.0,band_109,109
27,1,89,1.0,band_89,89
28,1,12,1.0,band_12,12
29,1,41,1.0,band_41,41
30,1,95,1.0,band_95,95
31,1,38,1.0,band_38,38
32,1,39,1.0,band_39,39
33,1,40,1.0,band_40,40
39,1,22,1.0,band_22,22
40,1,121,1.0,band_121,121
42,1,100,1.0,band_100,100
44,1,90,1.0,band_90,90
45,1,102,1.0,band_102,102
46,1,10,1.0,band_10,10
47,1,0,1.0,band_0,0
48,1,14,1.0,band_14,14
