representative,band_name,cluster_id,size,source,family
0,band_0,26,6,central,band
8,band_8,2,6,central,band
10,band_10,24,6,central,band
11,band_11,22,6,central,band
14,band_14,27,6,central,band
15,band_15,21,6,central,band
27,band_27,19,6,central,band
28,band_28,16,6,central,band
38,band_38,4,6,central,band
39,band_39,5,6,central,band
40,band_40,1,6,central,band
41,band_41,6,6,central,band
42,band_42,0,6,central,band
71,band_71,10,6,central,band
80,band_80,13,6,central,band
93,band_93,3,6,central,band
97,band_97,11,6,central,band
99,band_99,14,6,central,band
103,band_103,12,6,central,band
105,band_105,7,6,central,band
107,band_107,8,6,central,band
119,band_119,18,6,central,band
120,band_120,17,6,central,band
123,band_123,25,6,central,band
124,band_124,15,6,central,band
131,band_131,9,6,central,band
134,band_134,20,6,central,band
154,band_154,23,6,central,band
