representative,band_name,cluster_id,size,source,family
0,band_0,58,6,central,band
8,band_8,35,6,central,band
9,band_9,10,6,central,band
10,band_10,36,6,central,band
12,band_12,43,6,central,band
14,band_14,59,6,central,band
15,band_15,5,6,central,band
22,band_22,33,6,central,band
23,band_23,18,6,central,band
24,band_24,17,6,central,band
25,band_25,22,6,central,band
27,band_27,21,6,central,band
28,band_28,4,6,central,band
29,band_29,3,6,central,band
38,band_38,19,6,central,band
39,band_39,23,6,central,band
40,band_40,20,6,central,band
41,band_41,25,6,central,band
42,band_42,0,6,central,band
45,band_45,56,6,central,band
47,band_47,55,6,central,band
48,band_48,53,6,central,band
65,band_65,7,6,central,band
67,band_67,6,6,central,band
71,band_71,28,6,central,band
75,band_75,8,6,central,band
77,band_77,9,6,central,band
80,band_80,1,6,central,band
89,band_89,2,6,central,band
90,band_90,14,6,central,band
91,band_91,15,6,central,band
93,band_93,24,6,central,band
94,band_94,16,6,central,band
95,band_95,26,6,central,band
96,band_96,39,6,central,band
98,band_98,41,6,central,band
99,band_99,11,6,central,band
100,band_100,27,6,central,band
101,band_101,12,6,central,band
102,band_102,13,6,central,band
103,band_103,40,6,central,band
106,band_106,51,6,central,band
108,band_108,52,6,central,band
109,band_109,54,6,central,band
119,band_119,42,6,central,band
120,band_120,44,6,central,band
121,band_121,34,6,central,band
122,band_122,45,6,central,band
123,band_123,38,6,central,band
124,band_124,37,6,central,band
128,band_128,31,6,central,band
131,band_131,32,6,central,band
154,band_154,57,6,central,band
162,band_162,48,6,central,band
163,band_163,49,6,central,band
164,band_164,46,6,central,band
165,band_165,50,6,central,band
166,band_166,47,6,central,band
167,band_167,30,6,central,band
168,band_168,29,6,central,band
