cluster_id,size,representative,mean_abs_r_to_others,band_name,members
7,70,65,0.9862509508063828,band_65,16 17 18 19 21 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 82 83 84 85 86 87 88 112 113 114 115 116 117 118 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 176 177 178 179 180 181 182 183
32,14,131,0.9706119069686303,band_131,1 6 7 44 49 50 78 79 105 110 111 126 131 132
6,8,67,0.9731468388012477,band_67,66 67 68 69 70 73 74 76
18,4,23,0.9621140559514364,band_23,23 26 133 136
31,4,128,0.9869558016459147,band_128,3 46 107 128
0,3,42,0.9881354868412018,band_42,37 42 43
53,3,48,0.9669188559055328,band_48,5 48 130
55,3,47,0.9823553562164307,band_47,4 47 129
56,3,45,0.9808865785598755,band_45,2 45 127
1,2,80,0.9132272601127625,band_80,80 81
3,2,29,0.9956846833229065,band_29,29 139
4,2,28,0.9934712648391724,band_28,28 138
5,2,15,0.9996160268783569,band_15,15 20
10,2,9,0.9354897737503052,band_9,9 11
17,2,24,0.9988577961921692,band_24,24 134
19,2,38,0.914420485496521,band_38,38 92
21,2,27,0.9992647171020508,band_27,27 137
22,2,25,0.9991456866264343,band_25,25 135
28,2,71,0.9038276076316833,band_71,71 72
29,2,168,0.9831486344337463,band_168,168 175
30,2,167,0.9741122722625732,band_167,167 174
35,2,8,0.9675873517990112,band_8,8 13
37,2,124,0.9461806416511536,band_124,124 125
39,2,96,0.9328958988189697,band_96,96 97
40,2,103,0.9380093216896057,band_103,103 104
46,2,164,0.9845490455627441,band_164,164 171
47,2,166,0.9776433110237122,band_166,166 173
48,2,162,0.9750092029571533,band_162,162 169
49,2,163,0.9792866706848145,band_163,163 170
50,2,165,0.9783879518508911,band_165,165 172
2,1,89,1.0,band_89,89
8,1,75,1.0,band_75,75
9,1,77,1.0,band_77,77
11,1,99,1.0,band_99,99
12,1,101,1.0,band_101,101
13,1,102,1.0,band_102,102
14,1,90,1.0,band_90,90
15,1,91,1.0,band_91,91
16,1,94,1.0,band_94,94
20,1,40,1.0,band_40,40
23,1,39,1.0,band_39,39
24,1,93,1.0,band_93,93
25,1,41,1.0,band_41,41
26,1,95,1.0,band_95,95
27,1,100,1.0,band_100,100
33,1,22,1.0,band_22,22
34,1,121,1.0,band_121,121
36,1,10,1.0,band_10,10
38,1,123,1.0,band_123,123
41,1,98,1.0,band_98,98
42,1,119,1.0,band_119,119
43,1,12,1.0,band_12,12
44,1,120,1.0,band_120,120
45,1,122,1.0,band_122,122
51,1,106,1.0,band_106,106
52,1,108,1.0,band_108,108
54,1,109,1.0,band_109,109
57,1,154,1.0,band_154,154
58,1,0,1.0,band_0,0
59,1,14,1.0,band_14,14
