representative,band_name,cluster_id,size,source,family
0,band_0,19,6,central,band
2,band_2,8,6,central,band
8,band_8,5,6,central,band
10,band_10,13,6,central,band
14,band_14,20,6,central,band
28,band_28,11,6,central,band
38,band_38,4,6,central,band
39,band_39,2,6,central,band
40,band_40,1,6,central,band
41,band_41,3,6,central,band
42,band_42,0,6,central,band
71,band_71,16,6,central,band
79,band_79,17,6,central,band
80,band_80,10,6,central,band
93,band_93,9,6,central,band
96,band_96,15,6,central,band
98,band_98,14,6,central,band
101,band_101,7,6,central,band
122,band_122,6,6,central,band
124,band_124,18,6,central,band
177,band_177,12,6,central,band
