tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SI-18-Z-B,2015,9,798026,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-18-Z-B-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-35.005729654626336,-71.99871238078187,-33.998897884185176
CHILE-SI-18-Z-D,2015,9,6399415,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-36.005824060436595,-71.99871238078187,-34.998992289995435
CHILE-SI-19-Y-A,2015,9,2521251,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-35.005729654626336,-70.49870551935909,-33.998897884185176
CHILE-SI-19-Y-C,2015,9,1384042,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-36.005824060436595,-70.49870551935909,-34.998992289995435
CHILE-SJ-18-X-B,2015,9,7181541,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-X-B-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-37.00564897166162,-71.99871238078187,-35.9990866958057
CHILE-SJ-18-X-C,2015,9,1318549,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-X-C-2015-L8-3-184F-HARM_masked.tif,-75.00115155489455,-38.00574337747189,-73.49871924220464,-36.99891160703073
CHILE-SJ-18-X-D,2015,9,11144696,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-X-D-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-38.00574337747189,-71.99871238078187,-36.99891160703073
CHILE-SJ-18-Z-A,2015,9,140638,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-A-2015-L8-3-184F-HARM_masked.tif,-75.00142104947979,-39.00583778328215,-73.49871924220466,-37.999006012840994
CHILE-SJ-18-Z-B,2015,9,8805082,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-B-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-39.00583778328215,-71.99871238078188,-37.999006012840994
CHILE-SJ-18-Z-D,2015,9,454690,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-40.00593218909241,-71.99871238078188,-38.99883092406602
