representative,band_name,cluster_id,size,source,family
0,band_0,28,6,central,band
8,band_8,12,6,central,band
13,band_13,13,6,central,band
14,band_14,27,6,central,band
28,band_28,8,6,central,band
38,band_38,1,6,central,band
40,band_40,3,6,central,band
41,band_41,2,6,central,band
42,band_42,0,6,central,band
71,band_71,4,6,central,band
78,band_78,5,6,central,band
80,band_80,14,6,central,band
87,band_87,19,6,central,band
90,band_90,23,6,central,band
92,band_92,20,6,central,band
95,band_95,22,6,central,band
96,band_96,6,6,central,band
98,band_98,7,6,central,band
99,band_99,15,6,central,band
105,band_105,9,6,central,band
121,band_121,16,6,central,band
122,band_122,17,6,central,band
123,band_123,25,6,central,band
124,band_124,26,6,central,band
131,band_131,11,6,central,band
135,band_135,21,6,central,band
136,band_136,18,6,central,band
154,band_154,24,6,central,band
169,band_169,10,6,central,band
