cluster_id,size,representative,mean_abs_r_to_others,band_name,members
22,86,57,0.998183073015774,band_57,15 16 17 18 19 20 21 29 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 168 175 176 177 178 179 180 181 182 183
12,10,134,0.9778005480766296,band_134,23 24 25 26 27 133 134 135 136 137
28,10,49,0.9864769246843126,band_49,1 6 44 49 78 79 105 110 126 131
20,8,169,0.9751646774155753,band_169,162 163 165 167 169 170 172 174
19,6,47,0.9857956171035767,band_47,4 5 47 48 129 130
21,4,171,0.9771376450856527,band_171,164 166 171 173
29,4,132,0.9918951988220215,band_132,7 50 111 132
30,4,128,0.9870400627454122,band_128,3 46 107 128
0,3,42,0.9892013072967529,band_42,37 42 43
11,3,94,0.9757578670978546,band_94,91 92 94
34,3,45,0.9957070350646973,band_45,2 45 127
36,3,9,0.9722683429718018,band_9,9 11 22
1,2,8,0.9653568863868713,band_8,8 13
9,2,80,0.9770259261131287,band_80,80 81
10,2,93,0.956714391708374,band_93,93 95
13,2,28,0.9947425127029419,band_28,28 138
14,2,97,0.9565023183822632,band_97,97 104
39,2,99,0.9694002270698547,band_99,99 101
2,1,38,1.0,band_38,38
3,1,39,1.0,band_39,39
4,1,41,1.0,band_41,41
5,1,40,1.0,band_40,40
6,1,96,1.0,band_96,96
7,1,103,1.0,band_103,103
8,1,124,1.0,band_124,124
15,1,125,1.0,band_125,125
16,1,108,1.0,band_108,108
17,1,109,1.0,band_109,109
18,1,106,1.0,band_106,106
23,1,89,1.0,band_89,89
24,1,154,1.0,band_154,154
25,1,12,1.0,band_12,12
26,1,71,1.0,band_71,71
27,1,72,1.0,band_72,72
31,1,98,1.0,band_98,98
32,1,100,1.0,band_100,100
33,1,119,1.0,band_119,119
35,1,90,1.0,band_90,90
37,1,120,1.0,band_120,120
38,1,121,1.0,band_121,121
40,1,102,1.0,band_102,102
41,1,122,1.0,band_122,122
42,1,10,1.0,band_10,10
43,1,123,1.0,band_123,123
44,1,0,1.0,band_0,0
45,1,14,1.0,band_14,14
