representative,band_name,cluster_id,size,source,family
0,band_0,44,6,central,band
8,band_8,1,6,central,band
9,band_9,36,6,central,band
10,band_10,42,6,central,band
12,band_12,25,6,central,band
14,band_14,45,6,central,band
28,band_28,13,6,central,band
38,band_38,2,6,central,band
39,band_39,3,6,central,band
40,band_40,5,6,central,band
41,band_41,4,6,central,band
42,band_42,0,6,central,band
45,band_45,34,6,central,band
47,band_47,19,6,central,band
49,band_49,28,6,central,band
57,band_57,22,6,central,band
71,band_71,26,6,central,band
72,band_72,27,6,central,band
80,band_80,9,6,central,band
89,band_89,23,6,central,band
90,band_90,35,6,central,band
93,band_93,10,6,central,band
94,band_94,11,6,central,band
96,band_96,6,6,central,band
97,band_97,14,6,central,band
98,band_98,31,6,central,band
99,band_99,39,6,central,band
100,band_100,32,6,central,band
102,band_102,40,6,central,band
103,band_103,7,6,central,band
106,band_106,18,6,central,band
108,band_108,16,6,central,band
109,band_109,17,6,central,band
119,band_119,33,6,central,band
120,band_120,37,6,central,band
121,band_121,38,6,central,band
122,band_122,41,6,central,band
123,band_123,43,6,central,band
124,band_124,8,6,central,band
125,band_125,15,6,central,band
128,band_128,30,6,central,band
132,band_132,29,6,central,band
134,band_134,12,6,central,band
154,band_154,24,6,central,band
169,band_169,20,6,central,band
171,band_171,21,6,central,band
