tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SI-18-Z-D,2015,8,513547,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-36.005824060436595,-71.99871238078187,-34.998992289995435
CHILE-SI-19-V-A,2015,8,2487422,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-33.005540843005804,-70.49870551935909,-31.99897856714988
CHILE-SI-19-V-B,2015,8,589462,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-33.005540843005804,-68.99869865793632,-31.99897856714988
CHILE-SI-19-V-C,2015,8,15823130,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-34.00563524881607,-70.49870551935909,-32.99907297296015
CHILE-SI-19-V-D,2015,8,439717,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-34.00563524881607,-68.99869865793632,-32.99907297296015
CHILE-SI-19-Y-A,2015,8,13256638,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-35.005729654626336,-70.49870551935909,-33.998897884185176
CHILE-SI-19-Y-C,2015,8,9090777,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-C-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-36.005824060436595,-70.49870551935909,-34.998992289995435
CHILE-SJ-18-X-B,2015,8,6117006,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-X-B-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-37.00564897166162,-71.99871238078187,-35.9990866958057
CHILE-SJ-18-X-D,2015,8,8673063,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-X-D-2015-L8-3-184F-HARM_masked.tif,-73.50114469347177,-38.00574337747189,-71.99871238078187,-36.99891160703073
CHILE-SJ-18-Z-B,2015,8,10373187,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-B-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-39.00583778328215,-71.99871238078188,-37.999006012840994
CHILE-SJ-18-Z-D,2015,8,3189775,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-18-Z-D-2015-L8-3-184F-HARM_masked.tif,-73.50141418805701,-40.00593218909241,-71.99871238078188,-38.99883092406602
CHILE-SJ-19-V-A,2015,8,3721838,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-19-V-A-2015-L8-3-184F-HARM_masked.tif,-72.001137832049,-37.00564897166162,-70.49870551935909,-35.9990866958057
CHILE-SJ-19-V-C,2015,8,1822937,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-19-V-C-2015-L8-3-184F-HARM_masked.tif,-72.00140732663424,-38.00574337747189,-70.4987055193591,-36.99891160703073
CHILE-SJ-19-Y-A,2015,8,203962,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SJ-19-Y-A-2015-L8-3-184F-HARM_masked.tif,-72.00140732663424,-39.00583778328215,-70.4987055193591,-37.999006012840994
