representative,band_name,cluster_id,size,source,family
0,band_0,23,6,central,band
8,band_8,19,6,central,band
10,band_10,18,6,central,band
11,band_11,16,6,central,band
13,band_13,20,6,central,band
14,band_14,28,6,central,band
28,band_28,12,6,central,band
38,band_38,2,6,central,band
39,band_39,3,6,central,band
40,band_40,1,6,central,band
41,band_41,27,6,central,band
42,band_42,0,6,central,band
44,band_44,11,6,central,band
72,band_72,4,6,central,band
80,band_80,13,6,central,band
95,band_95,17,6,central,band
96,band_96,21,6,central,band
97,band_97,25,6,central,band
98,band_98,22,6,central,band
99,band_99,7,6,central,band
100,band_100,8,6,central,band
104,band_104,26,6,central,band
119,band_119,5,6,central,band
122,band_122,9,6,central,band
123,band_123,10,6,central,band
124,band_124,6,6,central,band
125,band_125,24,6,central,band
154,band_154,15,6,central,band
177,band_177,14,6,central,band
