representative,band_name,cluster_id,size,source,family
0,band_0,37,6,central,band
8,band_8,1,6,central,band
10,band_10,34,6,central,band
12,band_12,35,6,central,band
14,band_14,38,6,central,band
22,band_22,30,6,central,band
28,band_28,28,6,central,band
37,band_37,0,6,central,band
38,band_38,17,6,central,band
39,band_39,6,6,central,band
40,band_40,36,6,central,band
41,band_41,7,6,central,band
48,band_48,23,6,central,band
49,band_49,10,6,central,band
62,band_62,29,6,central,band
71,band_71,8,6,central,band
80,band_80,16,6,central,band
89,band_89,15,6,central,band
91,band_91,4,6,central,band
95,band_95,32,6,central,band
96,band_96,2,6,central,band
97,band_97,18,6,central,band
98,band_98,21,6,central,band
99,band_99,25,6,central,band
100,band_100,22,6,central,band
101,band_101,26,6,central,band
102,band_102,12,6,central,band
103,band_103,3,6,central,band
119,band_119,20,6,central,band
122,band_122,31,6,central,band
123,band_123,13,6,central,band
124,band_124,5,6,central,band
125,band_125,19,6,central,band
127,band_127,14,6,central,band
128,band_128,9,6,central,band
132,band_132,11,6,central,band
154,band_154,33,6,central,band
169,band_169,24,6,central,band
171,band_171,27,6,central,band
