rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,59,gvs_max,1.2228674536820583,0.06982919762998052,55,11
2,60,gvs_median,1.2088446948757867,0.07599312004031833,55,11
3,83,ndfi_median,1.1846571224179352,0.028922986569423603,55,11
4,92,ndvi_median,1.1806223693552589,0.015848371411493645,55,11
5,40,gcvi_median_wet,1.164851719794155,0.07565994213235916,55,11
6,82,ndfi_max,1.1640094907943237,0.0046867802188941265,55,11
7,62,gvs_median_wet,1.152988685344388,0.0133881169361596,55,11
8,140,sefi_max,1.137601180359081,0.009346905869257016,55,11
9,141,sefi_median,1.1376003842620195,0.0010209864847197103,55,11
10,71,hallcover_amp,1.1353918094420863,0.0,55,11
11,12,cai_min,1.1312924474916364,0.000861411601046802,55,11
12,78,hallheigth_amp,1.1257863823644094,0.0,55,11
13,94,ndvi_median_wet,1.1193238952734363,0.0316180553722849,55,11
14,37,gcvi_max,1.1133733441682583,0.03440020529363763,55,11
15,38,gcvi_median,1.1106793068568637,0.0360283188599817,55,11
16,81,ndbi,1.1017254371665206,0.04832537730204467,55,11
17,89,ndmi,1.1017254371665206,0.04832537730204467,55,11
18,99,ndwi_median,1.1017254371665206,0.04832537730204467,55,11
19,127,red_median,1.096696869753552,0.05037872791714748,55,11
20,133,savi_max,1.0958675658305008,0.001502244707259015,55,11
21,9,cai_median,1.0941684419383446,0.018097395340677336,55,11
22,23,evi2_max,1.0862226736958964,0.0025154513080700713,55,11
23,45,green_median,1.0814488417395385,0.07076198622086238,55,11
24,16,cloud_median,1.0767353998028761,0.012379340270627814,55,11
25,85,ndfi_median_wet,1.0758446923358336,0.003819006751815346,55,11
26,80,mbi,1.0636979925303969,0.05326070298818464,55,11
27,178,wefi_median,1.0555250847814421,0.006442742163290216,55,11
28,170,swir2_median,1.0450264990822986,0.016982411821332644,55,11
29,52,gv_max,1.044863555327812,0.010857186183849787,55,11
30,113,npv_median,1.0447115408125038,0.0,55,11
31,180,wefi_median_wet,1.038422913235494,0.009815494954170667,55,11
32,2,blue_median,1.0330500198452501,0.015393252242482225,55,11
33,11,cai_median_wet,1.0273502445130607,0.005927553754486947,55,11
34,129,red_median_wet,1.026418138469093,0.0058456766425547535,55,11
35,55,gv_median_wet,1.02605301076015,0.007993964880684601,55,11
36,53,gv_median,1.025930986702324,0.008686047856923063,55,11
37,101,ndwi_median_wet,1.0231631382215638,0.05870451797981602,55,11
38,136,savi_median_wet,1.0212539041638815,0.006480614877614199,55,11
39,26,evi2_median_wet,1.018869703540163,0.00762065137548551,55,11
40,156,soil_median,1.0017264722373587,0.019291557136502657,55,11
41,177,wefi_max,0.9983467394022955,0.012500845460858168,55,11
42,31,fns_median,0.9949413890986603,0.01601724447585018,55,11
43,143,sefi_median_wet,0.9934332353191608,0.01040356791821706,55,11
44,134,savi_median,0.9803911008335321,0.03386639758839283,55,11
45,30,fns_max,0.980168189687251,0.016074093259272892,55,11
46,159,soil_min,0.9772031106563064,0.01877634513640558,55,11
47,115,npv_median_wet,0.9754062035552813,0.0,55,11
48,24,evi2_median,0.9720386562843547,0.024462500611374782,55,11
49,84,ndfi_median_dry,0.9660812603609635,0.009903371664379934,55,11
50,47,green_median_wet,0.9599369436731433,0.009765903967016598,55,11
51,61,gvs_median_dry,0.9567790361174635,0.033856211153407756,55,11
52,116,npv_min,0.9482266535518822,0.0,55,11
53,10,cai_median_dry,0.9479815971692002,0.016034833369161117,55,11
54,33,fns_median_wet,0.9447135968940454,0.00776030575686204,55,11
55,158,soil_median_wet,0.9429446241280488,0.012001953132225518,55,11
56,67,hallcover_median,0.9317318674049269,0.05595646018721889,55,11
57,3,blue_median_dry,0.9295163306748904,0.0019604876686007966,55,11
58,114,npv_median_dry,0.9253867598711701,0.0024718596362798273,55,11
59,172,swir2_median_wet,0.9204681929468964,0.024580021432404342,55,11
60,17,cloud_median_dry,0.9185118335339421,0.006548053962283751,55,11
61,4,blue_median_wet,0.9127545964930993,0.0030583670760271353,55,11
62,112,npv_max,0.9026083443903222,0.007462616166996394,55,11
63,93,ndvi_median_dry,0.8999453743928966,0.02972928443169276,55,11
64,8,cai_max,0.8960163088208081,0.016762147499271407,55,11
65,54,gv_median_dry,0.8934703623502277,0.0051771643666844724,55,11
66,130,red_min,0.8844496545703857,0.011073336297800829,55,11
67,91,ndvi_max,0.8828502142662004,0.016279813551820732,55,11
68,21,cloud_stdDev,0.879855573883335,0.0069748693516917815,55,11
69,98,ndwi_max,0.8725527950233211,0.05787779341607435,55,11
70,86,ndfi_min,0.8597267703140737,0.004610225501474385,55,11
71,118,npv_stdDev,0.8567880554337046,0.005507360751491941,55,11
72,163,swir1_median,0.8563793693550723,0.012959442256657239,55,11
73,63,gvs_min,0.8554558416583918,0.006941832890906108,55,11
74,42,gcvi_amp,0.8535320301054081,0.045513660799419986,55,11
