representative,band_name,cluster_id,size,source,family
0,band_0,18,6,central,band
8,band_8,8,6,central,band
14,band_14,17,6,central,band
38,band_38,1,6,central,band
40,band_40,3,6,central,band
41,band_41,2,6,central,band
42,band_42,0,6,central,band
71,band_71,4,6,central,band
87,band_87,11,6,central,band
90,band_90,13,6,central,band
99,band_99,9,6,central,band
103,band_103,5,6,central,band
120,band_120,10,6,central,band
123,band_123,15,6,central,band
124,band_124,16,6,central,band
126,band_126,7,6,central,band
135,band_135,12,6,central,band
138,band_138,6,6,central,band
154,band_154,14,6,central,band
