band_index,band_name,decision,kept_in_band_list,n_hits,n_iters,hit_rate,mean_importance,mean_shadow_max
38,band_38,confirmed,1,49,49,1.0,0.0419781263357888,0.016643099779180794
91,band_91,confirmed,1,49,49,1.0,0.04083292316884352,0.016643099779180794
92,band_92,confirmed,1,49,49,1.0,0.03970612617915266,0.016643099779180794
154,band_154,confirmed,1,49,49,1.0,0.03561627507181985,0.016643099779180794
102,band_102,confirmed,1,49,49,1.0,0.033005051408412756,0.016643099779180794
99,band_99,confirmed,1,49,49,1.0,0.02768363144186593,0.016643099779180794
46,band_46,confirmed,1,49,49,1.0,0.02528726433027692,0.016643099779180794
12,band_12,confirmed,1,48,49,0.9795918367346939,0.024854157014891128,0.016643099779180794
89,band_89,confirmed,1,47,49,0.9591836734693877,0.027459768449480348,0.016643099779180794
40,band_40,confirmed,1,47,49,0.9591836734693877,0.027060347026834734,0.016643099779180794
9,band_9,confirmed,1,45,49,0.9183673469387755,0.02357194078748912,0.016643099779180794
101,band_101,confirmed,1,45,49,0.9183673469387755,0.022834924504637786,0.016643099779180794
80,band_80,confirmed,1,44,49,0.8979591836734694,0.022333553565957478,0.016643099779180794
169,band_169,confirmed,1,44,49,0.8979591836734694,0.021241695935352547,0.016643099779180794
93,band_93,confirmed,1,43,49,0.8775510204081632,0.02266314154737136,0.016643099779180794
11,band_11,confirmed,1,43,49,0.8775510204081632,0.021355320283472173,0.016643099779180794
27,band_27,confirmed,1,42,49,0.8571428571428571,0.02122197312122521,0.016643099779180794
107,band_107,confirmed,1,42,49,0.8571428571428571,0.02114441625721391,0.016643099779180794
95,band_95,confirmed,1,41,49,0.8367346938775511,0.020821039340212205,0.016643099779180794
105,band_105,confirmed,1,37,49,0.7551020408163265,0.02082715935812048,0.016643099779180794
28,band_28,confirmed,1,37,49,0.7551020408163265,0.020672230512717125,0.016643099779180794
24,band_24,tentative,1,31,49,0.6326530612244898,0.01765508186314798,0.016643099779180794
14,band_14,tentative,1,29,49,0.5918367346938775,0.019251806519038434,0.016643099779180794
110,band_110,tentative,1,29,49,0.5918367346938775,0.01829381170387939,0.016643099779180794
39,band_39,tentative,1,27,49,0.5510204081632653,0.017347307300608274,0.016643099779180794
13,band_13,tentative,1,26,49,0.5306122448979592,0.01855765584785382,0.016643099779180794
104,band_104,tentative,1,23,49,0.46938775510204084,0.01727601728271741,0.016643099779180794
71,band_71,rejected,0,27,49,0.5510204081632653,0.01693114913668097,0.016643099779180794
72,band_72,rejected,0,21,49,0.42857142857142855,0.01610975841884829,0.016643099779180794
90,band_90,rejected,0,15,49,0.30612244897959184,0.014823658059544784,0.016643099779180794
103,band_103,rejected,0,15,49,0.30612244897959184,0.014422775108573024,0.016643099779180794
100,band_100,rejected,0,3,49,0.061224489795918366,,0.016643099779180794
49,band_49,rejected,0,2,49,0.04081632653061224,,0.016643099779180794
50,band_50,rejected,0,2,49,0.04081632653061224,,0.016643099779180794
78,band_78,rejected,0,2,49,0.04081632653061224,,0.016643099779180794
42,band_42,rejected,0,1,49,0.02040816326530612,,0.016643099779180794
97,band_97,rejected,0,1,49,0.02040816326530612,,0.016643099779180794
0,band_0,rejected,0,0,49,0.0,,0.016643099779180794
8,band_8,rejected,0,0,49,0.0,,0.016643099779180794
10,band_10,rejected,0,0,49,0.0,,0.016643099779180794
17,band_17,rejected,0,0,49,0.0,,0.016643099779180794
41,band_41,rejected,0,0,49,0.0,,0.016643099779180794
96,band_96,rejected,0,0,49,0.0,,0.016643099779180794
98,band_98,rejected,0,0,49,0.0,,0.016643099779180794
119,band_119,rejected,0,0,49,0.0,,0.016643099779180794
120,band_120,rejected,0,0,49,0.0,,0.016643099779180794
121,band_121,rejected,0,0,49,0.0,,0.016643099779180794
122,band_122,rejected,0,0,49,0.0,,0.016643099779180794
123,band_123,rejected,0,0,49,0.0,,0.016643099779180794
124,band_124,rejected,0,0,49,0.0,,0.016643099779180794
125,band_125,rejected,0,0,49,0.0,,0.016643099779180794
