tile,n_eco,pct_eco,quota,n_finite,mosaic_path,n_requested,n_drawn
CHILE-SG-19-Y-B,234173,1.1254128391249756,5883,5883,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Y-B-2015-L8-3-184F-HARM_masked.tif,5883,5883
CHILE-SG-19-Y-D,7410217,35.61278777870275,11495,11495,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Y-D-2015-L8-3-184F-HARM_masked.tif,11495,11495
CHILE-SG-19-Z-A,1016826,4.886767627164927,5883,5883,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Z-A-2015-L8-3-184F-HARM_masked.tif,5883,5883
CHILE-SG-19-Z-C,1707075,8.20403770865671,5883,5883,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Z-C-2015-L8-3-184F-HARM_masked.tif,5883,5883
CHILE-SH-19-V-B,5604615,26.928025308413133,5883,5883,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-B-2015-L8-3-184F-HARM_masked.tif,5883,5883
CHILE-SH-19-V-C,24738,0.11886711537745402,5883,5883,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-C-2015-L8-3-184F-HARM_masked.tif,5883,5883
CHILE-SH-19-V-D,6123989,29.42602098121349,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-V-D-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SH-19-Y-A,340408,1.6352365008490637,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-A-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SH-19-Y-B,3783647,18.17571173629309,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-B-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SH-19-Y-C,1305416,6.26921917865783,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-C-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SH-19-Y-D,773310,3.7137968916022834,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SH-19-Y-D-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SI-19-V-A,298094,1.4315870357363685,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-A-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SI-19-V-B,3161119,15.181174323602331,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-B-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SI-19-V-D,3691330,17.727495932909516,5882,5881,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-V-D-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SI-19-Y-A,110581,0.5309196185940216,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-A-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SI-19-Y-B,3231570,15.51535898445377,5882,5882,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-B-2015-L8-3-184F-HARM_masked.tif,5882,5882
CHILE-SI-19-Y-D,270,0.0012963194131033887,270,270,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SI-19-Y-D-2015-L8-3-184F-HARM_masked.tif,270,270
