rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,19,band_19,0.917890655803278,0.0,45,10
2,116,band_116,0.8309347696266708,0.8309347696266708,1,10
3,18,band_18,0.6793077600200372,0.0,45,10
4,118,band_118,0.6709903396311108,0.0,28,10
5,16,band_16,0.5658283204533732,0.0,45,10
6,113,band_113,0.5643869296612964,0.0,28,10
7,115,band_115,0.5557465986422854,0.0,15,10
8,112,band_112,0.5016919869649227,0.0,45,10
9,117,band_117,0.49984082007778796,0.0,45,10
10,58,band_58,0.49313136035066363,0.0,45,10
11,21,band_21,0.4471259917943767,0.0,45,10
12,114,band_114,0.3458577856209706,0.0,28,10
13,54,band_54,0.33748043289818724,0.0,45,10
14,161,band_161,0.33172219690283267,0.0,45,10
15,15,band_15,0.29140688009712523,0.0,45,10
16,20,band_20,0.28960083235608447,0.0,45,10
17,56,band_56,0.2782089227962026,0.0,36,10
18,62,band_62,0.2732060959930427,0.0,45,10
19,157,band_157,0.2685826921015163,0.0,45,10
20,53,band_53,0.2666838827590406,0.0,45,10
21,17,band_17,0.26646047717012167,0.0,45,10
22,92,band_92,0.24198184546031049,0.0,45,10
23,52,band_52,0.24007303057943832,0.0,45,10
24,176,band_176,0.22388796745512288,0.0,45,10
25,60,band_60,0.21471976886269012,0.0,45,10
26,22,band_22,0.21383305112762194,0.0,45,10
27,94,band_94,0.18759624404137296,0.0,45,10
28,57,band_57,0.1831597016130926,0.0,45,10
29,84,band_84,0.1794530046914013,0.0,45,10
30,158,band_158,0.17875983176875113,0.0,45,10
31,178,band_178,0.17304468992567798,0.0,45,10
32,59,band_59,0.16872518236970535,0.0,36,10
33,61,band_61,0.16071898143091498,0.0,45,10
34,55,band_55,0.15522273514210697,0.0,45,10
35,156,band_156,0.15036777461730627,0.0,45,10
36,11,band_11,0.14243068285778723,0.0,45,10
37,9,band_9,0.1386881181378368,0.0,45,10
38,101,band_101,0.1372235437555676,0.0,45,10
39,159,band_159,0.12685313687308375,0.0,21,10
40,99,band_99,0.12217095911809132,0.0,45,10
41,32,band_32,0.12156073878011943,0.0,45,10
42,183,band_183,0.11665327593066784,0.0,45,10
43,133,band_133,0.10979450438909999,0.0,45,10
44,36,band_36,0.10730643454689487,0.0,45,10
45,177,band_177,0.09529674624913888,0.0,45,10
46,1,band_1,0.09428090415184444,0.0,45,10
47,6,band_6,0.0942809041429917,0.0,45,10
48,44,band_44,0.09428079034712525,0.0,45,10
49,49,band_49,0.09428061583389843,0.0,45,10
50,126,band_126,0.09427882526429884,0.0,45,10
51,91,band_91,0.09427346105054515,0.0,45,10
52,131,band_131,0.09426376524533205,0.0,45,10
53,142,band_142,0.09392824370658233,0.0,45,10
54,33,band_33,0.0926918611381911,0.0,45,10
55,7,band_7,0.09267166872107091,0.0,45,10
56,12,band_12,0.09210285356764779,0.0,45,10
57,102,band_102,0.09154631713673843,0.0,45,10
58,180,band_180,0.09147644203871415,0.0,45,10
59,77,band_77,0.08970374278569611,0.0,45,10
60,30,band_30,0.087847435332088,0.0,21,10
61,50,band_50,0.08049985719455217,0.0,45,10
62,155,band_155,0.08010537549453359,0.0,45,10
63,111,band_111,0.07565175338867128,0.0,45,10
64,160,band_160,0.07505043454121393,0.0,45,10
65,86,band_86,0.07475236870751822,0.0,36,10
66,63,band_63,0.07298465593324842,0.0,36,10
67,31,band_31,0.07157212914806256,0.0,45,10
68,132,band_132,0.06474962189668815,0.0,45,10
69,34,band_34,0.06473711188786177,0.0,45,10
70,179,band_179,0.06330737699805693,0.0,45,10
71,83,band_83,0.06287959636545498,0.0,45,10
72,129,band_129,0.0627941615712966,0.0,45,10
73,78,band_78,0.062471144800717644,0.0,45,10
74,143,band_143,0.062107226279966406,0.0,45,10
75,51,band_51,0.06185550439676865,0.0,45,10
76,150,band_150,0.06031422359635043,0.0,45,10
77,127,band_127,0.057110308854128516,0.0,45,10
78,104,band_104,0.05563222621487946,0.0,45,10
79,85,band_85,0.05516450041148576,0.0,45,10
80,169,band_169,0.054456182756736186,0.0,45,10
81,23,band_23,0.054093568623591576,0.0,45,10
82,141,band_141,0.053039705383192096,0.0,45,10
83,140,band_140,0.052816219978770805,0.0,21,10
84,65,band_65,0.04830433824360973,0.0,45,10
85,47,band_47,0.046514748743148135,0.0,45,10
86,64,band_64,0.04619529521434855,0.0,45,10
87,35,band_35,0.045997119248228115,0.0,45,10
88,154,band_154,0.045833195760750414,0.0,45,10
89,151,band_151,0.042875881990519095,0.0,45,10
90,4,band_4,0.0400571121196342,0.0,45,10
