tile,year,eco_id,n_eco_bbox_approx,mosaic_path,west,south,east,north
CHILE-SE-19-V-D,2015,1,2526575,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-18.003855261266622,-68.99896815252156,-16.998909952922112
CHILE-SE-19-Y-B,2015,1,7647551,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-19.00394966707689,-68.99896815252156,-17.99900435873238
CHILE-SE-19-Y-D,2015,1,3633554,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-Y-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-20.004313567472387,-68.99896815252156,-18.999098764542644
CHILE-SE-19-Z-A,2015,1,255806,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-Z-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-19.00394966707689,-67.49896129109878,-17.99900435873238
CHILE-SE-19-Z-C,2015,1,5524513,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SE-19-Z-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-20.004313567472387,-67.49896129109878,-18.999098764542644
CHILE-SF-19-V-B,2015,1,126334,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-21.00440797328265,-68.99896815252156,-19.99892367576767
CHILE-SF-19-X-A,2015,1,4666235,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-X-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-21.00440797328265,-67.49896129109878,-19.99892367576767
CHILE-SF-19-X-C,2015,1,9959761,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-X-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-22.004502379092912,-67.49896129109878,-20.999018081577933
CHILE-SF-19-Z-A,2015,1,10168779,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Z-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-23.004596784903175,-67.49896129109878,-21.99884299280296
CHILE-SF-19-Z-B,2015,1,943695,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Z-B-2015-L8-3-184F-HARM_masked.tif,-67.50111724778067,-23.004596784903175,-65.998954429676,-21.99884299280296
CHILE-SF-19-Z-C,2015,1,18142961,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Z-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-24.004691190713437,-67.49896129109878,-22.998937398613222
CHILE-SF-19-Z-D,2015,1,4848110,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SF-19-Z-D-2015-L8-3-184F-HARM_masked.tif,-67.50111724778067,-24.004691190713437,-65.998954429676,-22.998937398613222
CHILE-SG-19-V-B,2015,1,1812922,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-V-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-25.004785596523703,-68.99896815252156,-23.99903180442349
CHILE-SG-19-V-D,2015,1,3845453,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-V-D-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-26.004880002333966,-68.99896815252156,-24.998856715648515
CHILE-SG-19-X-A,2015,1,11104351,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-X-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-25.004785596523703,-67.49896129109878,-23.99903180442349
CHILE-SG-19-X-B,2015,1,176326,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-X-B-2015-L8-3-184F-HARM_masked.tif,-67.50111724778067,-25.004785596523703,-65.998954429676,-23.99903180442349
CHILE-SG-19-X-C,2015,1,7127194,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-X-C-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-26.004880002333966,-67.49896129109878,-24.998856715648515
CHILE-SG-19-Y-B,2015,1,3133167,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Y-B-2015-L8-3-184F-HARM_masked.tif,-70.50113097062622,-27.00497440814423,-68.99896815252156,-25.998951121458777
CHILE-SG-19-Z-A,2015,1,6650782,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SG-19-Z-A-2015-L8-3-184F-HARM_masked.tif,-69.00112410920345,-27.00497440814423,-67.49896129109878,-25.998951121458777
