representative,band_name,cluster_id,size,source,family
0,band_0,44,6,central,band
8,band_8,5,6,central,band
9,band_9,27,6,central,band
10,band_10,30,6,central,band
11,band_11,28,6,central,band
12,band_12,23,6,central,band
13,band_13,6,6,central,band
14,band_14,45,6,central,band
28,band_28,14,6,central,band
35,band_35,22,6,central,band
38,band_38,4,6,central,band
39,band_39,2,6,central,band
40,band_40,1,6,central,band
41,band_41,3,6,central,band
42,band_42,0,6,central,band
45,band_45,10,6,central,band
46,band_46,41,6,central,band
47,band_47,21,6,central,band
49,band_49,38,6,central,band
50,band_50,40,6,central,band
71,band_71,35,6,central,band
72,band_72,36,6,central,band
78,band_78,39,6,central,band
80,band_80,13,6,central,band
89,band_89,24,6,central,band
90,band_90,11,6,central,band
93,band_93,12,6,central,band
94,band_94,19,6,central,band
96,band_96,33,6,central,band
97,band_97,15,6,central,band
98,band_98,31,6,central,band
100,band_100,32,6,central,band
101,band_101,9,6,central,band
103,band_103,34,6,central,band
105,band_105,37,6,central,band
107,band_107,42,6,central,band
108,band_108,18,6,central,band
119,band_119,16,6,central,band
120,band_120,25,6,central,band
121,band_121,26,6,central,band
122,band_122,7,6,central,band
123,band_123,8,6,central,band
124,band_124,43,6,central,band
125,band_125,17,6,central,band
134,band_134,20,6,central,band
154,band_154,29,6,central,band
