representative,band_name,cluster_id,size,source,family
0,band_0,47,6,central,band
1,band_1,10,6,central,band
8,band_8,1,6,central,band
9,band_9,36,6,central,band
12,band_12,37,6,central,band
13,band_13,2,6,central,band
14,band_14,3,6,central,band
22,band_22,4,6,central,band
23,band_23,39,6,central,band
25,band_25,41,6,central,band
28,band_28,26,6,central,band
38,band_38,32,6,central,band
39,band_39,33,6,central,band
41,band_41,34,6,central,band
43,band_43,0,6,central,band
45,band_45,18,6,central,band
46,band_46,16,6,central,band
48,band_48,17,6,central,band
71,band_71,7,6,central,band
78,band_78,9,6,central,band
80,band_80,35,6,central,band
89,band_89,46,6,central,band
90,band_90,15,6,central,band
91,band_91,27,6,central,band
92,band_92,31,6,central,band
93,band_93,29,6,central,band
94,band_94,28,6,central,band
95,band_95,30,6,central,band
96,band_96,24,6,central,band
98,band_98,11,6,central,band
99,band_99,13,6,central,band
100,band_100,12,6,central,band
102,band_102,14,6,central,band
103,band_103,25,6,central,band
119,band_119,45,6,central,band
120,band_120,42,6,central,band
121,band_121,43,6,central,band
122,band_122,44,6,central,band
123,band_123,23,6,central,band
124,band_124,22,6,central,band
132,band_132,8,6,central,band
148,band_148,40,6,central,band
154,band_154,5,6,central,band
162,band_162,20,6,central,band
166,band_166,19,6,central,band
167,band_167,6,6,central,band
168,band_168,38,6,central,band
170,band_170,21,6,central,band
