cluster_id,size,representative,mean_abs_r_to_others,band_name,members
40,82,148,0.9920754830042521,band_148,15 16 17 18 19 20 21 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 176 177 178 179 180 181 182 183
10,8,1,0.9652629920414516,band_1,1 6 44 49 105 110 126 131
18,8,45,0.9400275349617004,band_45,2 4 45 47 106 108 127 129
21,6,170,0.9482602000236511,band_170,163 164 165 170 171 172
39,6,23,0.966210663318634,band_23,23 26 29 133 136 139
41,6,25,0.958976662158966,band_25,24 25 27 134 135 137
0,4,43,0.9894850651423136,band_43,37 40 42 43
8,4,132,0.989317774772644,band_132,7 50 111 132
16,4,46,0.9620529810587565,band_46,3 46 107 128
17,4,48,0.9602208932240804,band_48,5 48 109 130
36,3,9,0.9562836289405823,band_9,9 10 11
6,2,167,0.972248375415802,band_167,167 174
7,2,71,0.9310185313224792,band_71,71 72
9,2,78,0.9418267011642456,band_78,78 79
13,2,99,0.903348982334137,band_99,99 101
19,2,166,0.9824390411376953,band_166,166 173
20,2,162,0.9694967865943909,band_162,162 169
22,2,124,0.9015437364578247,band_124,124 125
24,2,96,0.9078417420387268,band_96,96 97
25,2,103,0.9044099450111389,band_103,103 104
26,2,28,0.9985657930374146,band_28,28 138
35,2,80,0.9039274454116821,band_80,80 81
38,2,168,0.9864712357521057,band_168,168 175
1,1,8,1.0,band_8,8
2,1,13,1.0,band_13,13
3,1,14,1.0,band_14,14
4,1,22,1.0,band_22,22
5,1,154,1.0,band_154,154
11,1,98,1.0,band_98,98
12,1,100,1.0,band_100,100
14,1,102,1.0,band_102,102
15,1,90,1.0,band_90,90
23,1,123,1.0,band_123,123
27,1,91,1.0,band_91,91
28,1,94,1.0,band_94,94
29,1,93,1.0,band_93,93
30,1,95,1.0,band_95,95
31,1,92,1.0,band_92,92
32,1,38,1.0,band_38,38
33,1,39,1.0,band_39,39
34,1,41,1.0,band_41,41
37,1,12,1.0,band_12,12
42,1,120,1.0,band_120,120
43,1,121,1.0,band_121,121
44,1,122,1.0,band_122,122
45,1,119,1.0,band_119,119
46,1,89,1.0,band_89,89
47,1,0,1.0,band_0,0
