band_index,cluster_id,band_name
0,57,band_0
1,10,band_1
2,22,band_2
3,8,band_3
4,24,band_4
5,28,band_5
6,10,band_6
7,11,band_7
8,6,band_8
9,51,band_9
10,53,band_10
11,51,band_11
12,52,band_12
13,7,band_13
14,58,band_14
15,46,band_15
16,46,band_16
17,46,band_17
18,46,band_18
19,46,band_19
20,46,band_20
21,46,band_21
22,54,band_22
23,47,band_23
24,47,band_24
25,47,band_25
26,47,band_26
27,44,band_27
28,41,band_28
29,46,band_29
30,46,band_30
31,46,band_31
32,46,band_32
33,46,band_33
34,46,band_34
35,46,band_35
36,46,band_36
37,0,band_37
38,16,band_38
39,17,band_39
40,18,band_40
41,19,band_41
42,0,band_42
43,0,band_43
44,10,band_44
45,22,band_45
46,8,band_46
47,24,band_47
48,26,band_48
49,10,band_49
50,11,band_50
51,46,band_51
52,46,band_52
53,46,band_53
54,46,band_54
55,46,band_55
56,46,band_56
57,46,band_57
58,46,band_58
59,46,band_59
60,46,band_60
61,46,band_61
62,46,band_62
63,46,band_63
64,46,band_64
65,46,band_65
66,46,band_66
67,46,band_67
68,46,band_68
69,46,band_69
70,46,band_70
71,14,band_71
72,15,band_72
73,46,band_73
74,46,band_74
75,46,band_75
76,46,band_76
77,46,band_77
78,10,band_78
79,12,band_79
80,33,band_80
81,33,band_81
82,46,band_82
83,46,band_83
84,46,band_84
85,46,band_85
86,46,band_86
87,46,band_87
88,46,band_88
89,34,band_89
90,35,band_90
91,5,band_91
92,47,band_92
93,47,band_93
94,48,band_94
95,44,band_95
96,3,band_96
97,42,band_97
98,39,band_98
99,36,band_99
100,37,band_100
101,38,band_101
102,20,band_102
103,4,band_103
104,43,band_104
105,10,band_105
106,23,band_106
107,9,band_107
108,25,band_108
109,27,band_109
110,10,band_110
111,11,band_111
112,46,band_112
113,46,band_113
114,46,band_114
115,46,band_115
116,46,band_116
117,46,band_117
118,46,band_118
119,40,band_119
120,49,band_120
121,50,band_121
122,55,band_122
123,21,band_123
124,1,band_124
125,2,band_125
126,10,band_126
127,22,band_127
128,8,band_128
129,25,band_129
130,26,band_130
131,10,band_131
132,11,band_132
133,47,band_133
134,47,band_134
135,47,band_135
136,47,band_136
137,44,band_137
138,41,band_138
139,46,band_139
140,46,band_140
141,46,band_141
142,46,band_142
143,46,band_143
144,46,band_144
145,46,band_145
146,46,band_146
147,46,band_147
148,46,band_148
149,46,band_149
150,46,band_150
151,46,band_151
152,46,band_152
153,46,band_153
154,56,band_154
155,46,band_155
156,46,band_156
157,46,band_157
158,46,band_158
159,46,band_159
160,46,band_160
161,46,band_161
162,31,band_162
163,32,band_163
164,30,band_164
165,32,band_165
166,29,band_166
167,13,band_167
168,45,band_168
169,31,band_169
170,32,band_170
171,30,band_171
172,32,band_172
173,29,band_173
174,13,band_174
175,45,band_175
176,46,band_176
177,46,band_177
178,46,band_178
179,46,band_179
180,46,band_180
181,46,band_181
182,46,band_182
183,46,band_183
