band_index,cluster_id,band_name
0,42,band_0
1,8,band_1
2,18,band_2
3,7,band_3
4,19,band_4
5,20,band_5
6,8,band_6
7,9,band_7
8,6,band_8
9,36,band_9
10,38,band_10
11,36,band_11
12,37,band_12
13,6,band_13
14,43,band_14
15,33,band_15
16,33,band_16
17,33,band_17
18,33,band_18
19,33,band_19
20,33,band_20
21,33,band_21
22,39,band_22
23,33,band_23
24,33,band_24
25,33,band_25
26,33,band_26
27,32,band_27
28,30,band_28
29,33,band_29
30,33,band_30
31,33,band_31
32,33,band_32
33,33,band_33
34,33,band_34
35,33,band_35
36,33,band_36
37,0,band_37
38,12,band_38
39,13,band_39
40,14,band_40
41,15,band_41
42,0,band_42
43,0,band_43
44,8,band_44
45,18,band_45
46,7,band_46
47,19,band_47
48,20,band_48
49,8,band_49
50,9,band_50
51,33,band_51
52,33,band_52
53,33,band_53
54,33,band_54
55,33,band_55
56,33,band_56
57,33,band_57
58,33,band_58
59,33,band_59
60,33,band_60
61,33,band_61
62,33,band_62
63,33,band_63
64,33,band_64
65,33,band_65
66,33,band_66
67,33,band_67
68,33,band_68
69,33,band_69
70,33,band_70
71,11,band_71
72,11,band_72
73,33,band_73
74,33,band_74
75,33,band_75
76,33,band_76
77,33,band_77
78,8,band_78
79,9,band_79
80,24,band_80
81,24,band_81
82,33,band_82
83,33,band_83
84,33,band_84
85,33,band_85
86,33,band_86
87,33,band_87
88,33,band_88
89,25,band_89
90,25,band_90
91,5,band_91
92,33,band_92
93,33,band_93
94,33,band_94
95,32,band_95
96,3,band_96
97,31,band_97
98,29,band_98
99,26,band_99
100,27,band_100
101,28,band_101
102,16,band_102
103,4,band_103
104,31,band_104
105,8,band_105
106,18,band_106
107,7,band_107
108,19,band_108
109,20,band_109
110,8,band_110
111,9,band_111
112,33,band_112
113,33,band_113
114,33,band_114
115,33,band_115
116,33,band_116
117,33,band_117
118,33,band_118
119,29,band_119
120,34,band_120
121,35,band_121
122,40,band_122
123,17,band_123
124,1,band_124
125,2,band_125
126,8,band_126
127,18,band_127
128,7,band_128
129,19,band_129
130,20,band_130
131,8,band_131
132,9,band_132
133,33,band_133
134,33,band_134
135,33,band_135
136,33,band_136
137,32,band_137
138,30,band_138
139,33,band_139
140,33,band_140
141,33,band_141
142,33,band_142
143,33,band_143
144,33,band_144
145,33,band_145
146,33,band_146
147,33,band_147
148,33,band_148
149,33,band_149
150,33,band_150
151,33,band_151
152,33,band_152
153,33,band_153
154,41,band_154
155,33,band_155
156,33,band_156
157,33,band_157
158,33,band_158
159,33,band_159
160,33,band_160
161,33,band_161
162,23,band_162
163,23,band_163
164,22,band_164
165,23,band_165
166,21,band_166
167,10,band_167
168,33,band_168
169,23,band_169
170,23,band_170
171,22,band_171
172,23,band_172
173,21,band_173
174,10,band_174
175,33,band_175
176,33,band_176
177,33,band_177
178,33,band_178
179,33,band_179
180,33,band_180
181,33,band_181
182,33,band_182
183,33,band_183
