band_index,cluster_id,band_name
0,79,band_0
1,31,band_1
2,62,band_2
3,58,band_3
4,63,band_4
5,57,band_5
6,34,band_6
7,33,band_7
8,3,band_8
9,1,band_9
10,1,band_10
11,1,band_11
12,2,band_12
13,27,band_13
14,28,band_14
15,73,band_15
16,73,band_16
17,73,band_17
18,73,band_18
19,73,band_19
20,73,band_20
21,73,band_21
22,25,band_22
23,19,band_23
24,19,band_24
25,18,band_25
26,19,band_26
27,16,band_27
28,40,band_28
29,39,band_29
30,70,band_30
31,70,band_31
32,70,band_32
33,70,band_33
34,70,band_34
35,73,band_35
36,73,band_36
37,0,band_37
38,8,band_38
39,8,band_39
40,9,band_40
41,12,band_41
42,0,band_42
43,0,band_43
44,31,band_44
45,62,band_45
46,58,band_46
47,63,band_47
48,56,band_48
49,34,band_49
50,33,band_50
51,75,band_51
52,73,band_52
53,73,band_53
54,73,band_54
55,73,band_55
56,73,band_56
57,73,band_57
58,73,band_58
59,72,band_59
60,73,band_60
61,73,band_61
62,73,band_62
63,73,band_63
64,72,band_64
65,73,band_65
66,47,band_66
67,50,band_67
68,48,band_68
69,50,band_69
70,45,band_70
71,29,band_71
72,30,band_72
73,47,band_73
74,49,band_74
75,48,band_75
76,49,band_76
77,46,band_77
78,35,band_78
79,36,band_79
80,5,band_80
81,4,band_81
82,76,band_82
83,67,band_83
84,67,band_84
85,69,band_85
86,68,band_86
87,76,band_87
88,72,band_88
89,4,band_89
90,6,band_90
91,20,band_91
92,17,band_92
93,14,band_93
94,17,band_94
95,15,band_95
96,43,band_96
97,44,band_97
98,13,band_98
99,7,band_99
100,10,band_100
101,7,band_101
102,11,band_102
103,41,band_103
104,42,band_104
105,32,band_105
106,60,band_106
107,59,band_107
108,61,band_108
109,56,band_109
110,35,band_110
111,36,band_111
112,73,band_112
113,73,band_113
114,73,band_114
115,73,band_115
116,73,band_116
117,73,band_117
118,73,band_118
119,24,band_119
120,21,band_120
121,22,band_121
122,23,band_122
123,38,band_123
124,37,band_124
125,37,band_125
126,32,band_126
127,60,band_127
128,59,band_128
129,63,band_129
130,56,band_130
131,34,band_131
132,36,band_132
133,19,band_133
134,19,band_134
135,18,band_135
136,19,band_136
137,16,band_137
138,40,band_138
139,39,band_139
140,77,band_140
141,64,band_141
142,65,band_142
143,64,band_143
144,66,band_144
145,78,band_145
146,74,band_146
147,70,band_147
148,70,band_148
149,70,band_149
150,70,band_150
151,70,band_151
152,73,band_152
153,73,band_153
154,26,band_154
155,71,band_155
156,71,band_156
157,71,band_157
158,71,band_158
159,71,band_159
160,73,band_160
161,73,band_161
162,51,band_162
163,54,band_163
164,52,band_164
165,53,band_165
166,55,band_166
167,29,band_167
168,30,band_168
169,51,band_169
170,54,band_170
171,52,band_171
172,53,band_172
173,55,band_173
174,29,band_174
175,30,band_175
176,73,band_176
177,73,band_177
178,73,band_178
179,73,band_179
180,73,band_180
181,73,band_181
182,73,band_182
183,73,band_183
