representative,band_name,cluster_id,size,source,family
0,band_0,49,6,central,band
8,band_8,1,6,central,band
9,band_9,36,6,central,band
10,band_10,46,6,central,band
12,band_12,47,6,central,band
14,band_14,50,6,central,band
22,band_22,42,6,central,band
28,band_28,35,6,central,band
37,band_37,0,6,central,band
38,band_38,20,6,central,band
39,band_39,6,6,central,band
40,band_40,48,6,central,band
41,band_41,7,6,central,band
47,band_47,27,6,central,band
48,band_48,28,6,central,band
49,band_49,11,6,central,band
62,band_62,37,6,central,band
71,band_71,8,6,central,band
72,band_72,9,6,central,band
79,band_79,13,6,central,band
80,band_80,19,6,central,band
89,band_89,17,6,central,band
90,band_90,18,6,central,band
91,band_91,4,6,central,band
93,band_93,39,6,central,band
94,band_94,40,6,central,band
95,band_95,44,6,central,band
96,band_96,2,6,central,band
97,band_97,21,6,central,band
98,band_98,25,6,central,band
99,band_99,31,6,central,band
100,band_100,26,6,central,band
101,band_101,32,6,central,band
102,band_102,14,6,central,band
103,band_103,3,6,central,band
104,band_104,22,6,central,band
119,band_119,24,6,central,band
120,band_120,38,6,central,band
121,band_121,41,6,central,band
122,band_122,43,6,central,band
123,band_123,15,6,central,band
124,band_124,5,6,central,band
125,band_125,23,6,central,band
127,band_127,16,6,central,band
128,band_128,10,6,central,band
132,band_132,12,6,central,band
154,band_154,45,6,central,band
164,band_164,34,6,central,band
166,band_166,33,6,central,band
167,band_167,29,6,central,band
172,band_172,30,6,central,band
