representative,band_name,cluster_id,size,source,family
0,band_0,23,6,central,band
8,band_8,1,6,central,band
9,band_9,19,6,central,band
10,band_10,21,6,central,band
12,band_12,13,6,central,band
14,band_14,24,6,central,band
21,band_21,10,6,central,band
28,band_28,9,6,central,band
38,band_38,2,6,central,band
40,band_40,4,6,central,band
41,band_41,3,6,central,band
42,band_42,0,6,central,band
45,band_45,18,6,central,band
71,band_71,14,6,central,band
79,band_79,15,6,central,band
80,band_80,7,6,central,band
89,band_89,11,6,central,band
96,band_96,5,6,central,band
98,band_98,16,6,central,band
119,band_119,17,6,central,band
122,band_122,20,6,central,band
123,band_123,22,6,central,band
124,band_124,6,6,central,band
134,band_134,8,6,central,band
154,band_154,12,6,central,band
