rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,116,band_116,0.8439907420789446,0.0,15,13
2,19,band_19,0.8417978022155829,0.0,66,13
3,115,band_115,0.647808743875819,0.0,55,13
4,18,band_18,0.6207419222279391,0.0,66,13
5,16,band_16,0.5878400076021214,0.0,66,13
6,113,band_113,0.4567578630994601,0.0,55,13
7,114,band_114,0.4021485760966194,0.0,66,13
8,56,band_56,0.392462873274288,0.0,66,13
9,17,band_17,0.32682248394269575,0.0,66,13
10,58,band_58,0.3161960363315531,0.0,66,13
11,53,band_53,0.30140314897221593,0.0,66,13
12,55,band_55,0.29063129994861975,0.0,66,13
13,60,band_60,0.26926021095270725,0.0,66,13
14,62,band_62,0.26857187852441244,0.0,66,13
15,54,band_54,0.20454970513534626,0.0,66,13
16,21,band_21,0.19749838637284842,0.0,66,13
17,52,band_52,0.1823350613071971,0.0,66,13
18,180,band_180,0.17903730123268338,0.0,66,13
19,118,band_118,0.16984174486988127,0.0,55,13
20,178,band_178,0.16960305253041058,0.0,66,13
21,181,band_181,0.1444317494454439,0.0,66,13
22,112,band_112,0.14186719619064322,0.0,66,13
23,117,band_117,0.14154695388906874,0.0,66,13
24,144,band_144,0.1263131980838812,0.0,66,13
25,92,band_92,0.11986022752801721,0.0,66,13
26,177,band_177,0.1027336210235887,0.0,66,13
27,148,band_148,0.10063056967844562,0.0,66,13
28,83,band_83,0.09989415659213213,0.0,66,13
29,63,band_63,0.09657320063092878,0.0,66,13
30,94,band_94,0.09388176307203465,0.0,66,13
31,61,band_61,0.08427341727107453,0.0,66,13
32,141,band_141,0.08401000408307616,0.0,66,13
33,179,band_179,0.0833746463453025,0.0,66,13
34,99,band_99,0.08253729262335631,0.0,66,13
35,134,band_134,0.08002493335928183,0.0,66,13
36,93,band_93,0.07965742483742246,0.0,66,13
37,133,band_133,0.07759345071098488,0.0,66,13
38,150,band_150,0.07699155744139091,0.0,66,13
39,151,band_151,0.07479617568861144,0.0,66,13
40,59,band_59,0.07424371998838787,0.0,66,13
41,85,band_85,0.06986365323342714,0.0,66,13
42,23,band_23,0.06913342072083478,0.0,66,13
43,161,band_161,0.06866444036854816,0.0,66,13
44,101,band_101,0.0669332868992199,0.0,66,13
45,24,band_24,0.06674281473462963,0.0,66,13
46,154,band_154,0.061778993181814255,0.0,66,13
47,86,band_86,0.060085274965776904,0.0,66,13
48,127,band_127,0.057147475165161166,0.0,66,13
49,136,band_136,0.055996570124040815,0.0,66,13
50,149,band_149,0.05499191131317725,0.0,66,13
51,143,band_143,0.054237059457965246,0.0,66,13
52,2,band_2,0.053829573467110384,0.0,66,13
53,156,band_156,0.052003783687143174,0.0,66,13
54,57,band_57,0.048162427661348206,0.0,66,13
55,183,band_183,0.04605964185687859,0.0,66,13
56,153,band_153,0.04304930919532261,0.0,66,13
57,26,band_26,0.04283422705144107,0.0,66,13
58,100,band_100,0.04264365874313318,0.0,66,13
59,45,band_45,0.04109554403206928,0.0,66,13
60,9,band_9,0.03970741956561522,0.0,66,13
61,11,band_11,0.03581752035282246,0.0,66,13
62,47,band_47,0.035153736715418174,0.0,66,13
63,159,band_159,0.03471149127632238,0.0,66,13
64,158,band_158,0.030776998366422042,0.0,66,13
65,95,band_95,0.030690410717771125,0.0,66,13
66,4,band_4,0.02985322159647724,0.0,66,13
67,146,band_146,0.027067280627183388,0.0,66,13
68,102,band_102,0.026139273215889554,0.0,66,13
69,84,band_84,0.022332342292151586,0.0,66,13
70,40,band_40,0.02021055307627216,0.0,66,13
71,135,band_135,0.020132517665085472,0.0,66,13
72,147,band_147,0.01888233837815648,0.0,66,13
73,76,band_76,0.018178409701776543,0.0,66,13
74,25,band_25,0.017943775542499756,0.0,66,13
75,129,band_129,0.016382261209884383,0.0,66,13
76,155,band_155,0.01579034595200211,0.0,66,13
77,38,band_38,0.013956805346256604,0.0,66,13
78,12,band_12,0.011185057470268975,0.0,66,13
79,182,band_182,0.009700766952707256,0.0,66,13
80,142,band_142,0.009673101651350907,0.0,66,13
81,15,band_15,0.00902986795036143,0.0,66,13
82,46,band_46,0.008684931939484535,0.0,66,13
83,145,band_145,0.007514654088652661,0.0,66,13
84,74,band_74,0.00559355140069118,0.0,66,13
85,36,band_36,0.002710107944737554,0.0,66,13
86,0,band_0,0.0,0.0,66,13
87,1,band_1,0.0,0.0,66,13
88,3,band_3,0.0,0.0,66,13
89,5,band_5,0.0,0.0,66,13
90,6,band_6,0.0,0.0,66,13
91,7,band_7,0.0,0.0,66,13
92,8,band_8,0.0,0.0,66,13
93,10,band_10,0.0,0.0,66,13
94,13,band_13,0.0,0.0,66,13
95,14,band_14,0.0,0.0,66,13
96,20,band_20,0.0,0.0,66,13
97,22,band_22,0.0,0.0,66,13
98,27,band_27,0.0,0.0,66,13
99,28,band_28,0.0,0.0,66,13
100,29,band_29,0.0,0.0,66,13
101,30,band_30,0.0,0.0,66,13
102,31,band_31,0.0,0.0,66,13
103,32,band_32,0.0,0.0,66,13
104,33,band_33,0.0,0.0,66,13
105,34,band_34,0.0,0.0,66,13
106,35,band_35,0.0,0.0,66,13
107,37,band_37,0.0,0.0,66,13
108,39,band_39,0.0,0.0,66,13
109,41,band_41,0.0,0.0,66,13
110,42,band_42,0.0,0.0,66,13
111,43,band_43,0.0,0.0,66,13
112,44,band_44,0.0,0.0,66,13
113,48,band_48,0.0,0.0,66,13
114,49,band_49,0.0,0.0,66,13
