rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,84,ndfi_median_dry,1.7216179269097922,0.3255496022053488,10,5
2,83,ndfi_median,1.7015433840328622,0.13187237462229806,10,5
3,178,wefi_median,1.6826178696475442,0.9451602601311513,10,5
4,134,savi_median,1.6472899493603719,0.830408871106969,10,5
5,24,evi2_median,1.6436126633271784,0.7675418447168885,10,5
6,38,gcvi_median,1.63080031611577,0.27282942852202896,10,5
7,90,ndsi,1.6072231070637426,0.2891253517627166,10,5
8,62,gvs_median_wet,1.606619641130663,0.012121555565570485,10,5
9,53,gv_median,1.568315888605286,0.0,10,5
10,181,wefi_min,1.554708455481805,0.4119521485992237,10,5
11,85,ndfi_median_wet,1.5452671572158434,0.1922788678962284,10,5
12,60,gvs_median,1.5449697272451814,0.0,10,5
13,179,wefi_median_dry,1.54322790805903,0.11921998395650779,10,5
14,148,shade_median,1.5286648203894901,0.09088907295535953,10,5
15,63,gvs_min,1.5201159086819556,0.0,10,5
16,56,gv_min,1.5198370166448183,0.0,10,5
17,61,gvs_median_dry,1.5178136348569462,0.0,10,5
18,39,gcvi_median_dry,1.5143606483929877,0.25558013769025667,10,5
19,55,gv_median_wet,1.4990854539656648,0.3129348013946489,10,5
20,54,gv_median_dry,1.4938299878231163,0.0,10,5
21,135,savi_median_dry,1.4840263044472577,0.26622980259962126,10,5
22,25,evi2_median_dry,1.4789880098645347,0.27648052567700465,10,5
23,180,wefi_median_wet,1.4760931595892153,0.31745845161866515,10,5
24,40,gcvi_median_wet,1.4614933761473825,0.2019244979919932,10,5
25,141,sefi_median,1.4325031376733082,0.009056717830071337,10,5
26,41,gcvi_min,1.4318226254533122,0.5784881284603962,10,5
27,143,sefi_median_wet,1.424082498074457,0.006545757013892262,10,5
28,142,sefi_median_dry,1.4196152828603774,0.12380394700970099,10,5
29,45,green_median,1.3862392896947044,0.032040184944534866,10,5
30,136,savi_median_wet,1.3843019316082266,0.2087544487691888,10,5
