rank,band_index,band_name,mean_jm,min_jm,n_pairs,n_classes_used
1,56,gv_min,1.3159611822905057,0.0,45,10
2,63,gvs_min,1.3128403794146841,0.0,45,10
3,116,npv_min,1.287288276881861,0.0,45,10
4,181,wefi_min,1.2713093344253015,0.07805196505720957,45,10
5,144,sefi_min,1.2702337807997934,0.018471986651181105,45,10
6,86,ndfi_min,1.2544682882374505,0.0,45,10
7,54,gv_median_dry,1.224640192557504,0.028480912185884222,45,10
8,179,wefi_median_dry,1.187634842637778,0.003129555931911554,45,10
9,142,sefi_median_dry,1.1700520135923242,0.0010721641146018701,45,10
10,141,sefi_median,1.1536887925065669,0.0018735593307273035,45,10
11,92,ndvi_median,1.1353211942768746,0.010644666801888025,45,10
12,178,wefi_median,1.1324139076688535,0.03563636147282945,45,10
13,136,savi_median_wet,1.1322684946023602,0.006735426781846687,45,10
14,26,evi2_median_wet,1.126448450741765,0.0022632930582404676,45,10
15,134,savi_median,1.1122261872974173,0.037400574413616994,45,10
16,9,cai_median,1.1082992025815568,0.041995180029832824,45,10
17,24,evi2_median,1.1063839451493027,0.0372977655271014,45,10
18,115,npv_median_wet,1.0967151590363244,0.014557456627812826,45,10
19,61,gvs_median_dry,1.0877529809397575,0.012820788596717758,45,10
20,114,npv_median_dry,1.0872490633837693,0.012131116432918754,45,10
21,41,gcvi_min,1.0789002420480702,0.04945861290776965,45,10
22,53,gv_median,1.0760814100183584,0.01578505702946975,45,10
23,93,ndvi_median_dry,1.0622111172660125,0.003798707096455578,45,10
24,140,sefi_max,1.0611457270291378,0.005562921683367472,45,10
25,94,ndvi_median_wet,1.0605612070583208,0.07064731979609595,45,10
26,125,pri_stdDev,1.0535058284939125,0.0026937342558199795,45,10
27,11,cai_median_wet,1.0512335465366152,0.035740417978691985,45,10
28,91,ndvi_max,1.0486054167895387,0.05187142257115562,45,10
29,10,cai_median_dry,1.028370859816487,0.051251664929089946,45,10
30,22,elevation,1.0270099364035992,0.04107685663843075,45,10
31,135,savi_median_dry,1.0253709542249678,0.010910846931446283,45,10
32,119,pri_max,1.0252493053287604,0.013159190194816928,45,10
33,159,soil_min,1.0246457370593456,0.03498626823389772,45,10
34,30,fns_max,1.0222999410844287,0.027164432873678868,45,10
35,25,evi2_median_dry,1.022105890249094,0.008361181488002023,45,10
36,180,wefi_median_wet,1.019138489168147,0.02373781361312366,45,10
37,38,gcvi_median,1.0189061709097191,0.02535649186997202,45,10
38,3,blue_median_dry,1.0167235564048303,0.007329744548942196,45,10
39,55,gv_median_wet,1.0148520109231856,0.02736866862911147,45,10
40,60,gvs_median,1.013776124889162,0.04746617530335451,45,10
41,17,cloud_median_dry,1.0016081274011295,0.017878168367165825,45,10
42,156,soil_median,0.9976821481267709,0.029334699888278637,45,10
43,143,sefi_median_wet,0.9896048525585139,0.011479990270454543,45,10
44,113,npv_median,0.9877314080317223,0.004546248477355741,45,10
45,95,ndvi_min,0.9821316320520924,0.13076109743365083,45,10
46,31,fns_median,0.9809137209914264,0.02524387827526775,45,10
47,12,cai_min,0.9797671130065835,0.05174664573285659,45,10
48,16,cloud_median,0.9749802484613425,0.00044386459376655196,45,10
49,42,gcvi_amp,0.9719181196987832,0.006926545667807593,45,10
50,39,gcvi_median_dry,0.9719125367283861,0.02081218189851408,45,10
51,46,green_median_dry,0.9705487738540862,0.003227637868159494,45,10
52,84,ndfi_median_dry,0.969956472606209,0.008768374491163078,45,10
53,97,ndvi_stdDev,0.9697969970524309,0.002989125987747032,45,10
54,157,soil_median_dry,0.9655275343993958,0.006073279160738965,45,10
55,133,savi_max,0.9593912385599527,0.02239408584932656,45,10
56,18,cloud_median_wet,0.9557929280410933,0.036210387333688976,45,10
57,43,gcvi_stdDev,0.9538743608809437,0.02521001137645329,45,10
58,23,evi2_max,0.9526142238498966,0.023106095396022486,45,10
59,2,blue_median,0.9513902165234666,0.0034848604138899564,45,10
60,47,green_median_wet,0.9499682698534634,0.03315279827570494,45,10
61,129,red_median_wet,0.9438782130443891,0.002662647978902033,45,10
62,32,fns_median_dry,0.9423470683559292,0.0036058312444258167,45,10
63,62,gvs_median_wet,0.9388260394700289,0.00483442402802603,45,10
64,8,cai_max,0.9354282916173955,0.06628105557442554,45,10
65,158,soil_median_wet,0.9345730224745142,0.03582672444674029,45,10
66,33,fns_median_wet,0.9294052499074368,0.036385793084221074,45,10
67,45,green_median,0.9285131399271408,0.010732462226943351,45,10
68,4,blue_median_wet,0.9268462676688625,0.013950999121568719,45,10
69,102,ndwi_min,0.924616963573511,0.00272943290114136,45,10
