representative,band_name,cluster_id,size,source,family
0,band_0,66,6,central,band
2,band_2,26,6,central,band
3,band_3,21,6,central,band
5,band_5,23,6,central,band
8,band_8,1,6,central,band
9,band_9,51,6,central,band
11,band_11,52,6,central,band
12,band_12,53,6,central,band
13,band_13,2,6,central,band
14,band_14,3,6,central,band
22,band_22,4,6,central,band
23,band_23,56,6,central,band
24,band_24,60,6,central,band
27,band_27,59,6,central,band
28,band_28,40,6,central,band
29,band_29,55,6,central,band
38,band_38,46,6,central,band
39,band_39,47,6,central,band
41,band_41,48,6,central,band
43,band_43,0,6,central,band
47,band_47,27,6,central,band
70,band_70,57,6,central,band
71,band_71,7,6,central,band
72,band_72,8,6,central,band
78,band_78,10,6,central,band
79,band_79,11,6,central,band
80,band_80,49,6,central,band
81,band_81,50,6,central,band
89,band_89,65,6,central,band
90,band_90,19,6,central,band
91,band_91,41,6,central,band
92,band_92,45,6,central,band
93,band_93,43,6,central,band
94,band_94,42,6,central,band
95,band_95,44,6,central,band
96,band_96,36,6,central,band
97,band_97,37,6,central,band
98,band_98,14,6,central,band
99,band_99,16,6,central,band
100,band_100,15,6,central,band
101,band_101,17,6,central,band
102,band_102,18,6,central,band
103,band_103,38,6,central,band
104,band_104,39,6,central,band
106,band_106,24,6,central,band
107,band_107,20,6,central,band
108,band_108,25,6,central,band
119,band_119,64,6,central,band
120,band_120,61,6,central,band
121,band_121,62,6,central,band
122,band_122,63,6,central,band
123,band_123,35,6,central,band
124,band_124,33,6,central,band
125,band_125,34,6,central,band
126,band_126,13,6,central,band
130,band_130,22,6,central,band
131,band_131,12,6,central,band
132,band_132,9,6,central,band
147,band_147,58,6,central,band
154,band_154,5,6,central,band
162,band_162,29,6,central,band
163,band_163,32,6,central,band
164,band_164,31,6,central,band
165,band_165,30,6,central,band
166,band_166,28,6,central,band
167,band_167,6,6,central,band
168,band_168,54,6,central,band
