cluster_id,size,representative,mean_abs_r_to_others,band_name,members
11,61,54,0.9937108188867569,band_54,16 18 19 21 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 84 86 88 112 113 114 115 116 117 118 140 144 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 176 177 178 179 180 181 182 183
44,9,131,0.9869779571890831,band_131,1 6 44 49 78 105 110 126 131
7,7,67,0.9803981681664785,band_67,66 67 68 69 73 74 76
43,5,132,0.9866497665643692,band_132,7 50 79 111 132
9,4,143,0.9702429374059042,band_143,83 85 141 143
42,4,128,0.9869558016459147,band_128,3 46 107 128
0,3,42,0.9881354868412018,band_42,37 42 43
71,3,47,0.9823553562164307,band_47,4 47 129
72,3,45,0.9808865785598755,band_45,2 45 127
4,2,29,0.9956846833229065,band_29,29 139
5,2,28,0.9934712648391724,band_28,28 138
6,2,15,0.9996160268783569,band_15,15 20
10,2,82,0.9771892428398132,band_82,82 87
25,2,24,0.9988577961921692,band_24,24 134
26,2,26,0.9986569881439209,band_26,26 136
27,2,23,0.9983205199241638,band_23,23 133
31,2,27,0.9992647171020508,band_27,27 137
32,2,25,0.9991456866264343,band_25,25 135
40,2,168,0.9831486344337463,band_168,168 175
41,2,167,0.9741122722625732,band_167,167 174
47,2,8,0.9675873517990112,band_8,8 13
61,2,164,0.9845490455627441,band_164,164 171
62,2,166,0.9776433110237122,band_166,166 173
63,2,162,0.9750092029571533,band_162,162 169
64,2,163,0.9792866706848145,band_163,163 170
65,2,165,0.9783879518508911,band_165,165 172
68,2,48,0.9832795858383179,band_48,48 130
1,1,80,1.0,band_80,80
2,1,81,1.0,band_81,81
3,1,89,1.0,band_89,89
8,1,70,1.0,band_70,70
12,1,17,1.0,band_17,17
13,1,145,1.0,band_145,145
14,1,142,1.0,band_142,142
15,1,75,1.0,band_75,75
16,1,77,1.0,band_77,77
17,1,9,1.0,band_9,9
18,1,11,1.0,band_11,11
19,1,99,1.0,band_99,99
20,1,101,1.0,band_101,101
21,1,102,1.0,band_102,102
22,1,90,1.0,band_90,90
23,1,91,1.0,band_91,91
24,1,94,1.0,band_94,94
28,1,38,1.0,band_38,38
29,1,92,1.0,band_92,92
30,1,40,1.0,band_40,40
33,1,39,1.0,band_39,39
34,1,93,1.0,band_93,93
35,1,41,1.0,band_41,41
36,1,95,1.0,band_95,95
37,1,100,1.0,band_100,100
38,1,71,1.0,band_71,71
39,1,72,1.0,band_72,72
45,1,22,1.0,band_22,22
46,1,121,1.0,band_121,121
48,1,10,1.0,band_10,10
49,1,124,1.0,band_124,124
50,1,125,1.0,band_125,125
51,1,123,1.0,band_123,123
52,1,96,1.0,band_96,96
53,1,97,1.0,band_97,97
54,1,103,1.0,band_103,103
55,1,104,1.0,band_104,104
56,1,98,1.0,band_98,98
57,1,119,1.0,band_119,119
58,1,12,1.0,band_12,12
59,1,120,1.0,band_120,120
60,1,122,1.0,band_122,122
66,1,106,1.0,band_106,106
67,1,108,1.0,band_108,108
69,1,5,1.0,band_5,5
70,1,109,1.0,band_109,109
73,1,154,1.0,band_154,154
74,1,0,1.0,band_0,0
75,1,14,1.0,band_14,14
