representative,band_name,cluster_id,size,source,family
0,band_0,74,6,central,band
5,band_5,69,6,central,band
8,band_8,47,6,central,band
9,band_9,17,6,central,band
10,band_10,48,6,central,band
11,band_11,18,6,central,band
12,band_12,58,6,central,band
14,band_14,75,6,central,band
15,band_15,6,6,central,band
17,band_17,12,6,central,band
22,band_22,45,6,central,band
23,band_23,27,6,central,band
24,band_24,25,6,central,band
25,band_25,32,6,central,band
26,band_26,26,6,central,band
27,band_27,31,6,central,band
28,band_28,5,6,central,band
29,band_29,4,6,central,band
38,band_38,28,6,central,band
39,band_39,33,6,central,band
40,band_40,30,6,central,band
41,band_41,35,6,central,band
42,band_42,0,6,central,band
45,band_45,72,6,central,band
47,band_47,71,6,central,band
48,band_48,68,6,central,band
54,band_54,11,6,central,band
67,band_67,7,6,central,band
70,band_70,8,6,central,band
71,band_71,38,6,central,band
72,band_72,39,6,central,band
75,band_75,15,6,central,band
77,band_77,16,6,central,band
80,band_80,1,6,central,band
81,band_81,2,6,central,band
82,band_82,10,6,central,band
89,band_89,3,6,central,band
90,band_90,22,6,central,band
91,band_91,23,6,central,band
92,band_92,29,6,central,band
93,band_93,34,6,central,band
94,band_94,24,6,central,band
95,band_95,36,6,central,band
96,band_96,52,6,central,band
97,band_97,53,6,central,band
98,band_98,56,6,central,band
99,band_99,19,6,central,band
100,band_100,37,6,central,band
101,band_101,20,6,central,band
102,band_102,21,6,central,band
103,band_103,54,6,central,band
104,band_104,55,6,central,band
106,band_106,66,6,central,band
108,band_108,67,6,central,band
109,band_109,70,6,central,band
119,band_119,57,6,central,band
120,band_120,59,6,central,band
121,band_121,46,6,central,band
122,band_122,60,6,central,band
123,band_123,51,6,central,band
124,band_124,49,6,central,band
125,band_125,50,6,central,band
128,band_128,42,6,central,band
131,band_131,44,6,central,band
132,band_132,43,6,central,band
142,band_142,14,6,central,band
143,band_143,9,6,central,band
145,band_145,13,6,central,band
154,band_154,73,6,central,band
162,band_162,63,6,central,band
163,band_163,64,6,central,band
164,band_164,61,6,central,band
165,band_165,65,6,central,band
166,band_166,62,6,central,band
167,band_167,41,6,central,band
168,band_168,40,6,central,band
