representative,band_name,cluster_id,size,source,family
0,band_0,33,6,central,band
8,band_8,1,6,central,band
9,band_9,8,6,central,band
10,band_10,9,6,central,band
12,band_12,26,6,central,band
14,band_14,34,6,central,band
22,band_22,13,6,central,band
26,band_26,20,6,central,band
29,band_29,21,6,central,band
38,band_38,15,6,central,band
41,band_41,16,6,central,band
42,band_42,0,6,central,band
46,band_46,12,6,central,band
71,band_71,27,6,central,band
80,band_80,2,6,central,band
89,band_89,19,6,central,band
90,band_90,10,6,central,band
91,band_91,17,6,central,band
96,band_96,30,6,central,band
98,band_98,5,6,central,band
101,band_101,7,6,central,band
103,band_103,31,6,central,band
109,band_109,25,6,central,band
119,band_119,6,6,central,band
120,band_120,3,6,central,band
121,band_121,4,6,central,band
123,band_123,32,6,central,band
124,band_124,29,6,central,band
131,band_131,11,6,central,band
135,band_135,18,6,central,band
154,band_154,14,6,central,band
156,band_156,22,6,central,band
163,band_163,24,6,central,band
166,band_166,23,6,central,band
169,band_169,28,6,central,band
