cluster_id,size,representative,mean_abs_r_to_others,band_name,members
22,94,156,0.9830195160322291,band_156,2 4 5 15 16 17 18 19 20 21 30 31 32 33 34 35 36 45 47 48 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 127 129 130 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 168 172 175 176 177 178 179 180 181 182 183
11,14,131,0.9513496160507202,band_131,1 6 7 44 49 50 78 79 105 110 111 126 131 132
18,9,135,0.919169507920742,band_135,24 25 27 92 93 95 134 135 137
20,6,26,0.9418795347213745,band_26,23 26 106 108 133 136
24,5,163,0.9247997850179672,band_163,163 164 165 170 171
8,4,9,0.8979846239089966,band_9,9 11 99 100
12,4,46,0.9625816543896993,band_46,3 46 107 128
21,4,29,0.9270002444585165,band_29,28 29 138 139
28,4,169,0.9185273845990499,band_169,162 167 169 174
0,3,42,0.997006356716156,band_42,37 42 43
15,3,38,0.9141805469989777,band_38,38 39 40
1,2,8,0.9424724578857422,band_8,8 13
2,2,80,0.9742880463600159,band_80,80 81
3,2,120,0.8672319054603577,band_120,120 122
7,2,101,0.929044246673584,band_101,101 102
17,2,91,0.9444800019264221,band_91,91 94
23,2,166,0.9480107426643372,band_166,166 173
27,2,71,0.9571996331214905,band_71,71 72
29,2,124,0.8718796372413635,band_124,124 125
30,2,96,0.8732461929321289,band_96,96 97
31,2,103,0.8717750310897827,band_103,103 104
4,1,121,1.0,band_121,121
5,1,98,1.0,band_98,98
6,1,119,1.0,band_119,119
9,1,10,1.0,band_10,10
10,1,90,1.0,band_90,90
13,1,22,1.0,band_22,22
14,1,154,1.0,band_154,154
16,1,41,1.0,band_41,41
19,1,89,1.0,band_89,89
25,1,109,1.0,band_109,109
26,1,12,1.0,band_12,12
32,1,123,1.0,band_123,123
33,1,0,1.0,band_0,0
34,1,14,1.0,band_14,14
