band_index,band_name,decision,kept_in_band_list,n_hits,n_iters,hit_rate,mean_importance,mean_shadow_max
92,band_92,confirmed,1,12,12,1.0,0.036690006072701474,0.004460260279351509
136,band_136,confirmed,1,12,12,1.0,0.03424106140096543,0.004460260279351509
108,band_108,confirmed,1,12,12,1.0,0.03332175690294848,0.004460260279351509
9,band_9,confirmed,1,12,12,1.0,0.03324488796673206,0.004460260279351509
172,band_172,confirmed,1,12,12,1.0,0.029477268094180886,0.004460260279351509
90,band_90,confirmed,1,12,12,1.0,0.027941951069476015,0.004460260279351509
38,band_38,confirmed,1,12,12,1.0,0.025863808436475635,0.004460260279351509
40,band_40,confirmed,1,12,12,1.0,0.025781440918706464,0.004460260279351509
89,band_89,confirmed,1,12,12,1.0,0.024872205869183067,0.004460260279351509
105,band_105,confirmed,1,12,12,1.0,0.02445014251853926,0.004460260279351509
164,band_164,confirmed,1,12,12,1.0,0.024224502980865602,0.004460260279351509
80,band_80,confirmed,1,12,12,1.0,0.023970940408534983,0.004460260279351509
106,band_106,confirmed,1,12,12,1.0,0.02306804943423187,0.004460260279351509
99,band_99,confirmed,1,12,12,1.0,0.022474003000267685,0.004460260279351509
39,band_39,confirmed,1,12,12,1.0,0.022213356113986504,0.004460260279351509
122,band_122,confirmed,1,12,12,1.0,0.021796599984959097,0.004460260279351509
100,band_100,confirmed,1,12,12,1.0,0.02159479355482691,0.004460260279351509
169,band_169,confirmed,1,12,12,1.0,0.020304383287007614,0.004460260279351509
28,band_28,confirmed,1,12,12,1.0,0.020265211864790588,0.004460260279351509
154,band_154,confirmed,1,12,12,1.0,0.020019526150732544,0.004460260279351509
125,band_125,confirmed,1,12,12,1.0,0.018582645924887124,0.004460260279351509
95,band_95,confirmed,1,12,12,1.0,0.018005773828752947,0.004460260279351509
91,band_91,confirmed,1,12,12,1.0,0.01654338445493358,0.004460260279351509
120,band_120,confirmed,1,12,12,1.0,0.01636185409466957,0.004460260279351509
135,band_135,confirmed,1,12,12,1.0,0.016143752539590196,0.004460260279351509
139,band_139,confirmed,1,12,12,1.0,0.015993092263329626,0.004460260279351509
102,band_102,confirmed,1,12,12,1.0,0.013736320046847042,0.004460260279351509
124,band_124,confirmed,1,12,12,1.0,0.013695796134010849,0.004460260279351509
44,band_44,confirmed,1,12,12,1.0,0.013290941303689546,0.004460260279351509
8,band_8,confirmed,1,12,12,1.0,0.013253029800562146,0.004460260279351509
41,band_41,confirmed,1,12,12,1.0,0.013214843443982565,0.004460260279351509
123,band_123,confirmed,1,12,12,1.0,0.013094591361996118,0.004460260279351509
98,band_98,confirmed,1,12,12,1.0,0.012581560829509487,0.004460260279351509
14,band_14,confirmed,1,12,12,1.0,0.012267980049948704,0.004460260279351509
97,band_97,confirmed,1,12,12,1.0,0.011460516784396595,0.004460260279351509
13,band_13,confirmed,1,12,12,1.0,0.010922341322790933,0.004460260279351509
42,band_42,confirmed,1,12,12,1.0,0.010834689028597319,0.004460260279351509
109,band_109,confirmed,1,12,12,1.0,0.009806049889831426,0.004460260279351509
72,band_72,confirmed,1,12,12,1.0,0.009012147355631977,0.004460260279351509
110,band_110,confirmed,1,12,12,1.0,0.008851372140311573,0.004460260279351509
96,band_96,confirmed,1,12,12,1.0,0.008822470257978457,0.004460260279351509
88,band_88,confirmed,1,12,12,1.0,0.008551713070316986,0.004460260279351509
119,band_119,confirmed,1,12,12,1.0,0.008512232496548307,0.004460260279351509
71,band_71,confirmed,1,12,12,1.0,0.008032749162879594,0.004460260279351509
79,band_79,confirmed,1,12,12,1.0,0.006103229254946524,0.004460260279351509
0,band_0,confirmed,1,12,12,1.0,0.005584567474769454,0.004460260279351509
78,band_78,confirmed,1,11,12,0.9166666666666666,0.005543094107788652,0.004460260279351509
