band_index,cluster_id,band_name
0,23,band_0
1,11,band_1
2,14,band_2
3,11,band_3
4,14,band_4
5,14,band_5
6,11,band_6
7,14,band_7
8,19,band_8
9,14,band_9
10,18,band_10
11,16,band_11
12,14,band_12
13,20,band_13
14,28,band_14
15,14,band_15
16,14,band_16
17,14,band_17
18,14,band_18
19,14,band_19
20,14,band_20
21,14,band_21
22,14,band_22
23,14,band_23
24,14,band_24
25,14,band_25
26,14,band_26
27,14,band_27
28,12,band_28
29,14,band_29
30,14,band_30
31,14,band_31
32,14,band_32
33,14,band_33
34,14,band_34
35,14,band_35
36,14,band_36
37,0,band_37
38,2,band_38
39,3,band_39
40,1,band_40
41,27,band_41
42,0,band_42
43,0,band_43
44,11,band_44
45,14,band_45
46,11,band_46
47,14,band_47
48,14,band_48
49,11,band_49
50,14,band_50
51,14,band_51
52,14,band_52
53,14,band_53
54,14,band_54
55,14,band_55
56,14,band_56
57,14,band_57
58,14,band_58
59,14,band_59
60,14,band_60
61,14,band_61
62,14,band_62
63,14,band_63
64,14,band_64
65,14,band_65
66,14,band_66
67,14,band_67
68,14,band_68
69,14,band_69
70,14,band_70
71,4,band_71
72,4,band_72
73,14,band_73
74,14,band_74
75,14,band_75
76,14,band_76
77,14,band_77
78,4,band_78
79,11,band_79
80,13,band_80
81,13,band_81
82,14,band_82
83,14,band_83
84,14,band_84
85,14,band_85
86,14,band_86
87,14,band_87
88,14,band_88
89,14,band_89
90,7,band_90
91,14,band_91
92,14,band_92
93,14,band_93
94,14,band_94
95,17,band_95
96,21,band_96
97,25,band_97
98,22,band_98
99,7,band_99
100,8,band_100
101,7,band_101
102,7,band_102
103,21,band_103
104,26,band_104
105,11,band_105
106,14,band_106
107,11,band_107
108,14,band_108
109,14,band_109
110,11,band_110
111,14,band_111
112,14,band_112
113,14,band_113
114,14,band_114
115,14,band_115
116,14,band_116
117,14,band_117
118,14,band_118
119,5,band_119
120,14,band_120
121,14,band_121
122,9,band_122
123,10,band_123
124,6,band_124
125,24,band_125
126,11,band_126
127,14,band_127
128,11,band_128
129,14,band_129
130,14,band_130
131,11,band_131
132,14,band_132
133,14,band_133
134,14,band_134
135,14,band_135
136,14,band_136
137,14,band_137
138,12,band_138
139,14,band_139
140,14,band_140
141,14,band_141
142,14,band_142
143,14,band_143
144,14,band_144
145,14,band_145
146,14,band_146
147,14,band_147
148,14,band_148
149,14,band_149
150,14,band_150
151,14,band_151
152,14,band_152
153,14,band_153
154,15,band_154
155,14,band_155
156,14,band_156
157,14,band_157
158,14,band_158
159,14,band_159
160,14,band_160
161,14,band_161
162,14,band_162
163,14,band_163
164,14,band_164
165,14,band_165
166,14,band_166
167,14,band_167
168,14,band_168
169,14,band_169
170,14,band_170
171,14,band_171
172,14,band_172
173,14,band_173
174,14,band_174
175,14,band_175
176,14,band_176
177,14,band_177
178,14,band_178
179,14,band_179
180,14,band_180
181,14,band_181
182,14,band_182
183,14,band_183
