tile,n_eco,pct_eco,quota,n_finite,mosaic_path,n_requested,n_drawn
CHILE-SL-18-X-D,1017298,4.881175787497189,5556,5538,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-X-D-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-18-Z-B,5911967,28.366663629420675,5556,5526,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-B-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-18-Z-C,486248,2.333728424981925,5556,5515,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-C-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-18-Z-D,2243109,10.76571468393244,5556,5547,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-18-Z-D-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-19-V-A,555863,2.668321369650905,5556,5556,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-V-A-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-19-V-C,1502671,7.210081315184133,5556,5556,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-V-C-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-19-Y-A,2317051,11.117620637803425,5556,5525,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-Y-A-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SL-19-Y-C,77509,0.3720014406062833,5556,5555,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SL-19-Y-C-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SM-18-Z-B,849835,4.078018914932708,5556,5556,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-B-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SM-18-Z-D,389351,1.8683400219430417,5556,5350,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-18-Z-D-2015-L8-3-184F-HARM_masked.tif,5556,5556
CHILE-SM-19-Y-C,93588,0.4490914521180256,5555,5555,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-19-Y-C-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SM-19-Y-D,38048,0.18257716342038124,5555,5555,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SM-19-Y-D-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SN-18-X-B,1570770,7.537498186128896,5555,5546,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-18-X-B-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SN-19-V-A,6281344,30.14166237351848,5555,5551,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-A-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SN-19-V-B,13202947,63.35567209970648,5555,5555,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-B-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SN-19-V-D,6650488,31.921581389499675,5555,5555,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-V-D-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SN-19-X-A,2346483,11.259835212209483,5555,5555,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-X-A-2015-L8-3-184F-HARM_masked.tif,5555,5555
CHILE-SN-19-X-C,5026491,24.126581622294125,5555,5553,/home/lserey/mapbiomas_land/mosaic_184bands_mask_water/2015/CHILE-SN-19-X-C-2015-L8-3-184F-HARM_masked.tif,5555,5555
