cluster_id,size,representative,mean_abs_r_to_others,band_name,members
23,109,180,0.9941633255393417,band_180,15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 74 75 76 77 82 83 84 85 86 87 88 112 113 114 115 116 117 118 133 134 135 136 137 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183
4,9,131,0.9792280271649361,band_131,1 6 44 49 79 105 110 126 131
29,6,47,0.984175705909729,band_47,4 5 47 48 129 130
2,4,50,0.996036966641744,band_50,7 50 111 132
3,4,46,0.987628698348999,band_46,3 46 107 128
22,3,104,0.9675614535808563,band_104,97 104 125
24,3,121,0.9688312411308289,band_121,119 120 121
26,3,94,0.988956868648529,band_94,91 92 94
28,3,45,0.9976966977119446,band_45,2 45 127
30,3,109,0.9646691381931305,band_109,106 108 109
34,3,39,0.9984801113605499,band_39,38 39 41
11,2,98,0.9730536341667175,band_98,98 100
12,2,101,0.9725757241249084,band_101,101 102
15,2,80,0.9837165474891663,band_80,80 81
21,2,28,0.9991344213485718,band_28,28 138
25,2,93,0.9928572177886963,band_93,93 95
36,2,42,0.9806275367736816,band_42,42 43
0,1,8,1.0,band_8,8
1,1,13,1.0,band_13,13
5,1,71,1.0,band_71,71
6,1,72,1.0,band_72,72
7,1,78,1.0,band_78,78
8,1,96,1.0,band_96,96
9,1,103,1.0,band_103,103
10,1,124,1.0,band_124,124
13,1,99,1.0,band_99,99
14,1,90,1.0,band_90,90
16,1,122,1.0,band_122,122
17,1,123,1.0,band_123,123
18,1,9,1.0,band_9,9
19,1,12,1.0,band_12,12
20,1,11,1.0,band_11,11
27,1,154,1.0,band_154,154
31,1,89,1.0,band_89,89
32,1,10,1.0,band_10,10
33,1,0,1.0,band_0,0
35,1,40,1.0,band_40,40
37,1,37,1.0,band_37,37
38,1,14,1.0,band_14,14
