representative,band_name,cluster_id,size,source,family
0,band_0,33,6,central,band
8,band_8,0,6,central,band
9,band_9,18,6,central,band
10,band_10,32,6,central,band
11,band_11,20,6,central,band
12,band_12,19,6,central,band
13,band_13,1,6,central,band
14,band_14,38,6,central,band
28,band_28,21,6,central,band
37,band_37,37,6,central,band
39,band_39,34,6,central,band
40,band_40,35,6,central,band
42,band_42,36,6,central,band
45,band_45,28,6,central,band
46,band_46,3,6,central,band
47,band_47,29,6,central,band
50,band_50,2,6,central,band
71,band_71,5,6,central,band
72,band_72,6,6,central,band
78,band_78,7,6,central,band
80,band_80,15,6,central,band
89,band_89,31,6,central,band
90,band_90,14,6,central,band
93,band_93,25,6,central,band
94,band_94,26,6,central,band
96,band_96,8,6,central,band
98,band_98,11,6,central,band
99,band_99,13,6,central,band
101,band_101,12,6,central,band
103,band_103,9,6,central,band
104,band_104,22,6,central,band
109,band_109,30,6,central,band
121,band_121,24,6,central,band
122,band_122,16,6,central,band
123,band_123,17,6,central,band
124,band_124,10,6,central,band
131,band_131,4,6,central,band
154,band_154,27,6,central,band
180,band_180,23,6,central,band
