representative,band_name,cluster_id,size,source,family
0,band_0,48,6,central,band
8,band_8,1,6,central,band
9,band_9,9,6,central,band
10,band_10,11,6,central,band
12,band_12,37,6,central,band
14,band_14,49,6,central,band
22,band_22,17,6,central,band
28,band_28,30,6,central,band
29,band_29,29,6,central,band
30,band_30,32,6,central,band
38,band_38,19,6,central,band
40,band_40,20,6,central,band
41,band_41,21,6,central,band
42,band_42,0,6,central,band
46,band_46,15,6,central,band
47,band_47,31,6,central,band
71,band_71,38,6,central,band
80,band_80,2,6,central,band
89,band_89,26,6,central,band
90,band_90,12,6,central,band
91,band_91,22,6,central,band
92,band_92,24,6,central,band
95,band_95,25,6,central,band
96,band_96,43,6,central,band
97,band_97,44,6,central,band
98,band_98,6,6,central,band
99,band_99,10,6,central,band
101,band_101,8,6,central,band
103,band_103,45,6,central,band
104,band_104,46,6,central,band
106,band_106,28,6,central,band
107,band_107,16,6,central,band
109,band_109,36,6,central,band
119,band_119,7,6,central,band
120,band_120,3,6,central,band
121,band_121,5,6,central,band
122,band_122,4,6,central,band
123,band_123,47,6,central,band
124,band_124,41,6,central,band
125,band_125,42,6,central,band
131,band_131,14,6,central,band
132,band_132,13,6,central,band
135,band_135,23,6,central,band
136,band_136,27,6,central,band
154,band_154,18,6,central,band
162,band_162,40,6,central,band
164,band_164,34,6,central,band
166,band_166,33,6,central,band
167,band_167,39,6,central,band
170,band_170,35,6,central,band
