band_index,cluster_id,band_name
0,32,band_0
1,6,band_1
2,14,band_2
3,5,band_3
4,15,band_4
5,15,band_5
6,6,band_6
7,6,band_7
8,4,band_8
9,27,band_9
10,28,band_10
11,27,band_11
12,27,band_12
13,4,band_13
14,33,band_14
15,25,band_15
16,25,band_16
17,25,band_17
18,25,band_18
19,25,band_19
20,25,band_20
21,25,band_21
22,29,band_22
23,25,band_23
24,25,band_24
25,25,band_25
26,25,band_26
27,24,band_27
28,23,band_28
29,25,band_29
30,25,band_30
31,25,band_31
32,25,band_32
33,25,band_33
34,25,band_34
35,25,band_35
36,25,band_36
37,0,band_37
38,9,band_38
39,9,band_39
40,10,band_40
41,11,band_41
42,0,band_42
43,0,band_43
44,6,band_44
45,14,band_45
46,5,band_46
47,15,band_47
48,15,band_48
49,6,band_49
50,6,band_50
51,25,band_51
52,25,band_52
53,25,band_53
54,25,band_54
55,25,band_55
56,25,band_56
57,25,band_57
58,25,band_58
59,25,band_59
60,25,band_60
61,25,band_61
62,25,band_62
63,25,band_63
64,25,band_64
65,25,band_65
66,25,band_66
67,25,band_67
68,25,band_68
69,25,band_69
70,25,band_70
71,8,band_71
72,8,band_72
73,25,band_73
74,25,band_74
75,25,band_75
76,25,band_76
77,25,band_77
78,6,band_78
79,6,band_79
80,18,band_80
81,18,band_81
82,25,band_82
83,25,band_83
84,25,band_84
85,25,band_85
86,25,band_86
87,25,band_87
88,25,band_88
89,19,band_89
90,19,band_90
91,3,band_91
92,25,band_92
93,25,band_93
94,25,band_94
95,24,band_95
96,2,band_96
97,23,band_97
98,22,band_98
99,20,band_99
100,20,band_100
101,21,band_101
102,12,band_102
103,2,band_103
104,23,band_104
105,6,band_105
106,14,band_106
107,5,band_107
108,15,band_108
109,15,band_109
110,6,band_110
111,6,band_111
112,25,band_112
113,25,band_113
114,25,band_114
115,25,band_115
116,25,band_116
117,25,band_117
118,25,band_118
119,22,band_119
120,26,band_120
121,26,band_121
122,30,band_122
123,13,band_123
124,1,band_124
125,1,band_125
126,6,band_126
127,14,band_127
128,5,band_128
129,15,band_129
130,15,band_130
131,6,band_131
132,6,band_132
133,25,band_133
134,25,band_134
135,25,band_135
136,25,band_136
137,24,band_137
138,23,band_138
139,25,band_139
140,25,band_140
141,25,band_141
142,25,band_142
143,25,band_143
144,25,band_144
145,25,band_145
146,25,band_146
147,25,band_147
148,25,band_148
149,25,band_149
150,25,band_150
151,25,band_151
152,25,band_152
153,25,band_153
154,31,band_154
155,25,band_155
156,25,band_156
157,25,band_157
158,25,band_158
159,25,band_159
160,25,band_160
161,25,band_161
162,17,band_162
163,17,band_163
164,17,band_164
165,17,band_165
166,16,band_166
167,7,band_167
168,25,band_168
169,17,band_169
170,17,band_170
171,17,band_171
172,17,band_172
173,16,band_173
174,7,band_174
175,25,band_175
176,25,band_176
177,25,band_177
178,25,band_178
179,25,band_179
180,25,band_180
181,25,band_181
182,25,band_182
183,25,band_183
