representative,band_name,cluster_id,size,source,family
0,band_0,51,6,central,band
8,band_8,2,6,central,band
9,band_9,42,6,central,band
10,band_10,49,6,central,band
11,band_11,47,6,central,band
13,band_13,3,6,central,band
14,band_14,52,6,central,band
24,band_24,38,6,central,band
25,band_25,37,6,central,band
26,band_26,36,6,central,band
27,band_27,32,6,central,band
28,band_28,27,6,central,band
35,band_35,44,6,central,band
38,band_38,6,6,central,band
39,band_39,7,6,central,band
40,band_40,1,6,central,band
41,band_41,8,6,central,band
42,band_42,0,6,central,band
44,band_44,12,6,central,band
46,band_46,40,6,central,band
50,band_50,39,6,central,band
71,band_71,14,6,central,band
78,band_78,15,6,central,band
79,band_79,13,6,central,band
80,band_80,20,6,central,band
89,band_89,35,6,central,band
90,band_90,23,6,central,band
93,band_93,4,6,central,band
94,band_94,34,6,central,band
95,band_95,5,6,central,band
96,band_96,17,6,central,band
97,band_97,16,6,central,band
98,band_98,19,6,central,band
99,band_99,21,6,central,band
100,band_100,24,6,central,band
102,band_102,22,6,central,band
103,band_103,18,6,central,band
105,band_105,9,6,central,band
107,band_107,11,6,central,band
109,band_109,33,6,central,band
110,band_110,10,6,central,band
119,band_119,31,6,central,band
120,band_120,28,6,central,band
121,band_121,29,6,central,band
122,band_122,30,6,central,band
123,band_123,50,6,central,band
124,band_124,25,6,central,band
125,band_125,26,6,central,band
139,band_139,43,6,central,band
154,band_154,48,6,central,band
164,band_164,45,6,central,band
169,band_169,41,6,central,band
170,band_170,46,6,central,band
